contrast,replicate,model_seed,label_rank_seed,delta_tpr,delta_tpr_pp,delta_fpr,delta_fpr_pp,delta_AP,delta_AUC,delta_FPR_at_TPR90
TEXT_ADD,0,442,9401,0.05359999999999998,5.359999999999998,0.0019999999999999996,0.19999999999999996,1.982690936797038e-05,0.0015731199999999834,-0.0015999999999999994
TEXT_ADD,1,462,9402,0.07479999999999998,7.479999999999998,0.0019999999999999996,0.19999999999999996,0.0013840708124941425,0.001511120000000088,-0.0007999999999999999
TEXT_ADD,2,482,9403,0.04159999999999997,4.159999999999997,-0.0007999999999999995,-0.07999999999999995,0.0010773020659663457,0.0016978399999999505,-0.0024
TEXT_ADD,3,502,9404,0.03839999999999999,3.839999999999999,-0.0015999999999999999,-0.15999999999999998,0.0007058610029668788,0.001590959999999919,-0.0036000000000000003
TEXT_ADD,4,522,9405,0.0504,5.04,0.002,0.2,-0.0007324282039294916,0.0012704799999999628,-0.002
TEXT_ADD,5,542,9406,0.05120000000000002,5.120000000000003,0.0015999999999999999,0.15999999999999998,0.0012936117022570581,0.0014495999999999398,-0.0024
TEXT_ADD,6,562,9407,0.05920000000000003,5.9200000000000035,0.0003999999999999993,0.03999999999999993,0.0003190823567316148,0.0011808000000000929,-0.004
TEXT_ADD,7,582,9408,0.03479999999999994,3.479999999999994,-0.0004000000000000002,-0.04000000000000002,0.0007090237289225643,0.001279040000000009,-0.0012000000000000001
TEXT_ADD,8,602,9409,0.06359999999999999,6.359999999999999,0.002,0.2,0.0010758592445183623,0.0016523199999999294,-0.0028
TEXT_ADD,9,622,9410,0.050799999999999956,5.079999999999996,0.0015999999999999999,0.15999999999999998,0.0007064000561056716,0.0011740799999999663,-0.00039999999999999975
DOM_ADD,0,442,9401,0.0040000000000000036,0.40000000000000036,-0.0003999999999999993,-0.03999999999999993,0.0015554029435687067,0.0006860800000000333,-0.0004000000000000002
DOM_ADD,1,462,9402,0.0035999999999999366,0.35999999999999366,0.0012000000000000005,0.12000000000000005,0.00039435991130420955,0.0005676000000000014,-0.0004000000000000002
DOM_ADD,2,482,9403,0.006800000000000028,0.6800000000000028,0.0024000000000000002,0.24000000000000002,0.0010405404121199835,0.0005992800000000909,0.0
DOM_ADD,3,502,9404,0.006000000000000005,0.6000000000000005,0.0008000000000000004,0.08000000000000004,0.0011296761347940887,0.0007385600000000547,0.0004000000000000002
DOM_ADD,4,522,9405,0.014800000000000035,1.4800000000000035,0.0011999999999999997,0.11999999999999997,0.0014353294339758405,0.0008100000000000884,-0.0008000000000000004
DOM_ADD,5,542,9406,0.01959999999999995,1.959999999999995,0.0008000000000000004,0.08000000000000004,0.0002834080000641004,0.0006612799999999863,-0.0004000000000000002
DOM_ADD,6,562,9407,0.0020000000000000018,0.20000000000000018,0.0004000000000000002,0.04000000000000002,0.0013581139409041265,0.000854319999999964,0.0008000000000000004
DOM_ADD,7,582,9408,0.00040000000000006697,0.0400000000000067,0.0007999999999999995,0.07999999999999995,0.000942324369409997,0.0006163999999998504,-0.0008000000000000004
DOM_ADD,8,602,9409,0.006399999999999961,0.6399999999999961,-0.0016000000000000007,-0.1600000000000001,0.0009495600424850315,0.0006010400000000526,0.0
DOM_ADD,9,622,9410,0.009199999999999986,0.9199999999999986,0.0024000000000000002,0.24000000000000002,0.0008557010617670224,0.0006997600000000492,-0.0004000000000000002
GATING_ADD,0,442,9401,0.014799999999999924,1.4799999999999924,0.0027999999999999995,0.27999999999999997,-0.0005782801605104249,-5.319999999997549e-05,0.0
GATING_ADD,1,462,9402,0.0008000000000000229,0.08000000000000229,0.0,0.0,0.000551372145854212,0.00019895999999997027,-0.0004000000000000002
GATING_ADD,2,482,9403,0.0011999999999999789,0.11999999999999789,0.0,0.0,-0.00019972453911820676,-9.760000000014202e-05,0.0
GATING_ADD,3,502,9404,0.011599999999999944,1.1599999999999944,0.0003999999999999993,0.03999999999999993,0.00045230064671242243,0.0001463200000000331,-0.0008000000000000004
GATING_ADD,4,522,9405,0.0,0.0,-0.0011999999999999997,-0.11999999999999997,0.0006735806550179912,0.00017087999999998438,-0.00039999999999999975
GATING_ADD,5,542,9406,0.007200000000000095,0.7200000000000095,0.0007999999999999995,0.07999999999999995,0.00039785706631434437,0.0001049600000000428,-0.0007999999999999999
GATING_ADD,6,562,9407,0.009199999999999986,0.9199999999999986,0.0008000000000000004,0.08000000000000004,0.00043966887793067677,0.00033216000000002577,-0.0012000000000000001
GATING_ADD,7,582,9408,0.0043999999999999595,0.43999999999999595,-0.0019999999999999996,-0.19999999999999996,6.0666820907107066e-05,4.328000000008991e-05,0.0
GATING_ADD,8,602,9409,0.0048000000000000265,0.48000000000000265,0.0024000000000000002,0.24000000000000002,8.423834804738295e-05,2.9759999999989795e-05,0.0
GATING_ADD,9,622,9410,0.0036000000000000476,0.36000000000000476,0.0007999999999999995,0.07999999999999995,0.00019477448185356572,0.00011855999999998978,0.0
