status,version,scientific_status,replicate,model_seed,label_rank_seed,selection_sha256,variant,modalities,fusion,budget,train_batch,train_steps,train_minutes,mean_train_loss,last100_train_loss,threshold_source,target_fpr,threshold,tune_score_batch,meta_score_batch,tpr,fpr,precision,f1,tp,fp,tn,fn,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95,gate_url_mean,gate_text_mean,gate_dom_mean,cal_accessed,final_accessed
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,2,482,9403,f18d4dc9875b35121abfdf327cbfb0e97460d2429460b543bb128c498d10ffe3,P2_TRI_EQUAL,url+text+dom,equal,20000,8,2500,6.495345290501913,0.2312662347882986,0.14745430164039136,DEV_ENG_TUNE_NEGATIVES,0.005,2.5585937500000004,128,128,0.9416,0.0064,0.9932489451476794,0.966735112936345,2354,16,2484,146,0.0036624469345540524,0.01037244457200421,0.9977938342213818,0.99789536,0.9964819700967458,0.0032,0.0088,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,2,482,9403,f18d4dc9875b35121abfdf327cbfb0e97460d2429460b543bb128c498d10ffe3,P3_TRI_GATED,url+text+dom,gated,20000,8,2500,6.449229367574056,0.23019381127953528,0.14931643437594175,DEV_ENG_TUNE_NEGATIVES,0.005,2.6171875000000004,128,128,0.9428,0.0064,0.9932574799831437,0.967371229222245,2357,16,2484,143,0.0036624469345540524,0.01037244457200421,0.9975941096822636,0.9977977599999999,0.996553209823352,0.0032,0.0072,0.32682833075523376,0.3334466218948364,0.3397250175476074,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,3,502,9404,5f3db3f999f6e59e54ae0223aa5c225e5dc65abff4cff75c4513981923841605,P0_URL,url,none,20000,8,2500,1.676045266787211,0.24029827731624245,0.1902561369165778,DEV_ENG_TUNE_NEGATIVES,0.005,4.527343750000001,128,128,0.8836,0.0052,0.9941494149414941,0.9356204997882254,2209,13,2487,291,0.002771598733672405,0.008875743119471518,0.9955638745698154,0.99543472,0.9929916776171704,0.0064,0.0164,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,3,502,9404,5f3db3f999f6e59e54ae0223aa5c225e5dc65abff4cff75c4513981923841605,P1_DUAL_EQUAL,url+text,equal,20000,8,2500,5.779244486490885,0.2130513464331627,0.12270225662738085,DEV_ENG_TUNE_NEGATIVES,0.005,3.9687500000000004,128,128,0.922,0.0036,0.9961106309420916,0.9576235978396345,2305,9,2491,195,0.0016474300387530022,0.006822873977770355,0.9962697355727823,0.9970256799999999,0.9969338589575121,0.0028,0.0068,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,3,502,9404,5f3db3f999f6e59e54ae0223aa5c225e5dc65abff4cff75c4513981923841605,P2_TRI_EQUAL,url+text+dom,equal,20000,8,2500,6.441425625483195,0.21856322993934155,0.14078308627009392,DEV_ENG_TUNE_NEGATIVES,0.005,3.9511718750000004,128,128,0.928,0.0044,0.9952809952809952,0.960463672117574,2320,11,2489,180,0.00219844832014729,0.007859146916668072,0.9973994117075764,0.99776424,0.9965126416739319,0.0032,0.0076,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,3,502,9404,5f3db3f999f6e59e54ae0223aa5c225e5dc65abff4cff75c4513981923841605,P3_TRI_GATED,url+text+dom,gated,20000,8,2500,6.447777477900187,0.2173657371327281,0.1353430337831378,DEV_ENG_TUNE_NEGATIVES,0.005,3.3710937500000004,128,128,0.9396,0.0048,0.9949174078780177,0.9664678049783996,2349,12,2488,151,0.0024826152964909157,0.008369607343754665,0.9978517123542888,0.99791056,0.9973579920739762,0.0024,0.0068,0.32893162965774536,0.32833442091941833,0.3427339494228363,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,4,522,9405,168f1dad6ce6a81642f96d6ebc0a865f7dad3d3490fd45ec4259d866f61c83b3,P0_URL,url,none,20000,8,2500,1.6855517347653708,0.2521906173981726,0.15854706201702357,DEV_ENG_TUNE_NEGATIVES,0.005,4.593750000000001,128,128,0.872,0.0036,0.9958885335769758,0.9298357858818512,2180,9,2491,320,0.0016474300387530022,0.006822873977770355,0.9955923088197653,0.9952734400000001,0.9930615784908933,0.0064,0.0152,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,4,522,9405,168f1dad6ce6a81642f96d6ebc0a865f7dad3d3490fd45ec4259d866f61c83b3,P1_DUAL_EQUAL,url+text,equal,20000,8,2500,5.819447843233744,0.23160167355388403,0.1302984624542296,DEV_ENG_TUNE_NEGATIVES,0.005,3.0722656250000004,128,128,0.9224,0.0056,0.9939655172413793,0.9568464730290456,2306,14,2486,194,0.003064852726633455,0.009378015161906493,0.9948598806158359,0.99654392,0.9951370468611848,0.0044,0.0088,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,4,522,9405,168f1dad6ce6a81642f96d6ebc0a865f7dad3d3490fd45ec4259d866f61c83b3,P2_TRI_EQUAL,url+text+dom,equal,20000,8,2500,6.479447555541992,0.23971384639963508,0.14091912684962155,DEV_ENG_TUNE_NEGATIVES,0.005,2.5332031250000004,128,128,0.9372,0.0068,0.9927966101694915,0.9641975308641976,2343,17,2483,157,0.003966093381310206,0.010865202606622814,0.9962952100498117,0.9973539200000001,0.9960247349823321,0.0036,0.0072,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,4,522,9405,168f1dad6ce6a81642f96d6ebc0a865f7dad3d3490fd45ec4259d866f61c83b3,P3_TRI_GATED,url+text+dom,gated,20000,8,2500,6.486889354387919,0.23962010064274072,0.1410198950394988,DEV_ENG_TUNE_NEGATIVES,0.005,2.5156250000000004,128,128,0.9372,0.0056,0.9940602460755197,0.964793082149475,2343,14,2486,157,0.003064852726633455,0.009378015161906493,0.9969687907048297,0.9975248000000001,0.9964726631393298,0.0032,0.0064,0.34117308259010315,0.3292848467826843,0.32954201102256775,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,5,542,9406,f4b0213ab2fd7defd97a842438db923ddf251969bf6364244538e5f9d1d29b38,P0_URL,url,none,20000,8,2500,1.6836936553319295,0.24665058083161712,0.19082819102331997,DEV_ENG_TUNE_NEGATIVES,0.005,4.894531250000001,128,128,0.8752,0.004,0.9954504094631483,0.931460195828012,2188,10,2490,312,0.0019197710897091796,0.007343800722249135,0.9957095871838382,0.99537248,0.9938997821350762,0.0056,0.0176,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,5,542,9406,f4b0213ab2fd7defd97a842438db923ddf251969bf6364244538e5f9d1d29b38,P1_DUAL_EQUAL,url+text,equal,20000,8,2500,5.832388273874918,0.22245953184142708,0.12457211455330253,DEV_ENG_TUNE_NEGATIVES,0.005,3.0000000000000004,128,128,0.9264,0.0056,0.9939914163090129,0.9590062111801242,2316,14,2486,184,0.003064852726633455,0.009378015161906493,0.9970031988860952,0.9968220799999999,0.9964927663305567,0.0032,0.0068,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,5,542,9406,f4b0213ab2fd7defd97a842438db923ddf251969bf6364244538e5f9d1d29b38,P2_TRI_EQUAL,url+text+dom,equal,20000,8,2500,6.477553081512451,0.22807491813674569,0.12874746523797512,DEV_ENG_TUNE_NEGATIVES,0.005,2.5683593750000004,128,128,0.946,0.0064,0.9932801343973121,0.9690637164515468,2365,16,2484,135,0.0036624469345540524,0.01037244457200421,0.9972866068861593,0.9974833599999999,0.9969378827646544,0.0028,0.0072,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,5,542,9406,f4b0213ab2fd7defd97a842438db923ddf251969bf6364244538e5f9d1d29b38,P3_TRI_GATED,url+text+dom,gated,20000,8,2500,6.497483213742574,0.2275348634250462,0.12590012105181814,DEV_ENG_TUNE_NEGATIVES,0.005,2.5781250000000004,128,128,0.9532,0.0072,0.9925031236984589,0.972454601101816,2383,18,2482,117,0.0042725950868969746,0.011355319859800341,0.9976844639524737,0.99758832,0.9977856510186005,0.002,0.0068,0.33395814895629883,0.3290168344974518,0.337024986743927,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,6,562,9407,16d22faa94bbe49d570fc08842725edd2c5a40b134db0b436bee46dda782dbea,P0_URL,url,none,20000,8,2500,1.6797358552614847,0.24718017963543534,0.1801139976270497,DEV_ENG_TUNE_NEGATIVES,0.005,5.007812500000001,128,128,0.8784,0.0044,0.9950158586316267,0.9330783938814531,2196,11,2489,304,0.00219844832014729,0.007859146916668072,0.9954686802365895,0.9954023999999999,0.9929390997352162,0.0064,0.0164,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,6,562,9407,16d22faa94bbe49d570fc08842725edd2c5a40b134db0b436bee46dda782dbea,P1_DUAL_EQUAL,url+text,equal,20000,8,2500,5.823971728483836,0.22693737146928905,0.20746878579258918,DEV_ENG_TUNE_NEGATIVES,0.005,2.6503906250000004,128,128,0.9376,0.0048,0.9949066213921901,0.9654036243822075,2344,12,2488,156,0.0024826152964909157,0.008369607343754665,0.9957877625933211,0.9965832,0.9973753280839895,0.0024,0.0064,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,6,562,9407,16d22faa94bbe49d570fc08842725edd2c5a40b134db0b436bee46dda782dbea,P2_TRI_EQUAL,url+text+dom,equal,20000,8,2500,6.47450023094813,0.2321941969692707,0.2056892188079655,DEV_ENG_TUNE_NEGATIVES,0.005,3.0820312500000004,128,128,0.9396,0.0052,0.9944961896697714,0.9662690250925545,2349,13,2487,151,0.002771598733672405,0.008875743119471518,0.9971458765342253,0.99743752,0.9964664310954063,0.0032,0.0072,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,6,562,9407,16d22faa94bbe49d570fc08842725edd2c5a40b134db0b436bee46dda782dbea,P3_TRI_GATED,url+text+dom,gated,20000,8,2500,6.519575047492981,0.22948420613631607,0.20378454668447377,DEV_ENG_TUNE_NEGATIVES,0.005,2.6425781250000004,128,128,0.9488,0.006,0.993715961457897,0.9707386944956006,2372,15,2485,128,0.003361927422109211,0.009876807597394188,0.9975855454121559,0.99776968,0.9977856510186005,0.002,0.006,0.33921194076538086,0.3267853856086731,0.33400267362594604,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,7,582,9408,1e65c28852e990c12d7a5a20a0c52ca1d611bfda853792e6aaf7b9a3fed0360a,P0_URL,url,none,20000,8,2500,1.6830067078272501,0.2432778095342219,0.18661235487088562,DEV_ENG_TUNE_NEGATIVES,0.005,4.761718750000001,128,128,0.896,0.0044,0.9951132829853399,0.9429593769732688,2240,11,2489,260,0.00219844832014729,0.007859146916668072,0.9961393086065914,0.99590648,0.9951605807303123,0.0044,0.0156,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,7,582,9408,1e65c28852e990c12d7a5a20a0c52ca1d611bfda853792e6aaf7b9a3fed0360a,P1_DUAL_EQUAL,url+text,equal,20000,8,2500,5.89377064704895,0.21675162266492842,0.16041894294321538,DEV_ENG_TUNE_NEGATIVES,0.005,3.4609375000000004,128,128,0.9308,0.004,0.9957210098416773,0.9621666322100475,2327,10,2490,173,0.0019197710897091796,0.007343800722249135,0.996848332335514,0.99718552,0.9965322930212397,0.0032,0.0056,,,,False,False
