run,model_seed,label_rank_seed,budget,rep,probe,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95,source,prospective_under_current_plan,n10_source_group
0,42,20260813,20000,R0,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.728629112243653,0.7142708333333333,0.0061143984220907,0.9899303425127224,0.8298062232441344,54856,558,90702,21944,6.11439842209073,0.005618899387158,0.0066416716885567,0.9834605022493208,0.985468467282695,0.9571948872055503,0.0338702607933377,0.0687157571772956,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
0,42,20260813,20000,R0,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.728629112243653,0.7253013337614213,0.0117572754214643,0.9911518985027696,0.837638661434354,54217,484,40682,20534,11.757275421464316,0.0107384070173727,0.0128458520783479,0.9877449440148184,0.978403153446852,0.9664301310043668,0.0567701501238886,0.1073458679492785,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
0,42,20260813,20000,R0,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.728629112243653,0.710891452099608,0.0060683240130668,0.9892471008378628,0.8272823491766559,50415,548,89757,20503,6.068324013066829,0.0055721760149609,0.0065965893254874,0.9822287338428686,0.9852966198778884,0.9536965096820464,0.0343170367089308,0.0691656054482033,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
0,42,20260813,20000,R0,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.728629112243653,0.7221105890856523,0.0116080156402737,0.990580443016638,0.8353037574622498,49952,475,40445,19223,11.608015640273704,0.0105927410265287,0.0126934488635176,0.9868125606100872,0.9782397928596386,0.9640606370294668,0.0567204301075268,0.1075757575757575,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
0,42,20260813,20000,R0,LINEAR,FINAL,LATE_TEST_Q4,0.005,2.728629112243653,0.6729692814483516,0.00857596611964,0.9967868618350588,0.8034789281831554,25128,81,9364,12211,8.575966119640022,0.0068162218493498,0.0106480250476238,0.9949714985096022,0.9817076203546262,0.9862390704770848,0.049655902593965,0.0894653255690841,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
0,42,20260813,200000,R0,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.5348377227783208,0.7792447916666667,0.0061582292351523,0.9906965964772878,0.8723398052591685,59846,562,90698,16954,6.158229235152312,0.0056609301974939,0.0066872981089901,0.9878596953278096,0.9890162470779456,0.972809412559462,0.0211702827087442,0.0478194170501862,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
0,42,20260813,200000,R0,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.5348377227783208,0.7895412770397721,0.0115872321818976,0.9919826542960872,0.8792598717289772,59019,477,40689,15732,11.587232181897685,0.0105758451665335,0.0126683593028246,0.9913272446746486,0.9843572092406434,0.979015687301726,0.0350289073507263,0.0726084632949521,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
0,42,20260813,200000,R0,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.5348377227783208,0.7801686454778759,0.0061347655168595,0.9900862531763358,0.8726813880126184,55328,554,89751,15590,6.134765516859531,0.0056358666048958,0.0066657749759674,0.9874002446048692,0.9892580070098108,0.9716695337118848,0.0206079397597032,0.0456453131055866,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
0,42,20260813,200000,R0,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.5348377227783208,0.7908782074448861,0.0114613880742913,0.9915002356011454,0.8798983538796813,54709,469,40451,14466,11.4613880742913,0.0104526238152077,0.0125403387166989,0.9910251031718984,0.9848493577956372,0.978408787340698,0.0335777126099706,0.0685972629521016,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
0,42,20260813,200000,R0,LINEAR,FINAL,LATE_TEST_Q4,0.005,2.5348377227783208,0.7543587134095717,0.0089994706193753,0.996991363443296,0.8588678324770166,28167,85,9360,9172,8.999470619375332,0.0071946038990732,0.0111161243070289,0.996292123170298,0.986179575905992,0.9918574463063488,0.0292218104817363,0.0631021704605611,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
0,42,20260813,10000,RUT,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.407734155654908,0.7345442708333333,0.0052158667543282,0.9916328288421312,0.8439437799669381,56413,476,90784,20387,5.215866754328293,0.0047588290553796,0.0057047731024981,0.9876639250620476,0.9888788377643546,0.9708728319640476,0.0227262765724304,0.0481700635546789,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
0,42,20260813,10000,RUT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.407734155654908,0.7420101403325708,0.0098867997862313,0.9927156229305748,0.8492466927976482,55466,407,40759,19285,9.886799786231355,0.0089535874135842,0.0108900815499274,0.9909527880432362,0.9838853943902643,0.9767414849443944,0.0389156099693922,0.0767623767186513,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
0,42,20260813,10000,RUT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.407734155654908,0.7302659409458812,0.0051824372958307,0.9910442620127448,0.8409011568906029,51789,468,89837,19129,5.182437295830796,0.0047245458296797,0.0056725407352334,0.9868047234845514,0.988768107176903,0.968955414206124,0.0226454792093461,0.0474281601240241,HISTORICAL_CANONICAL_N5,False,HISTORICAL_N5
