budget,dataset,scenario,target_fpr,n,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,AP_mean,P_at_R90_mean
2000,DEV,DEV,0.0001,3,0.1076666666666666,0.0114583303030298,0.0001333333333333,5.7735026918962585e-05,0.9987779915020536,0.9827557811858052,0.9506311275652862
2000,DEV,DEV,0.0005,3,0.2981999999999999,0.0187744507243221,0.0004666666666666,0.0001527525231651,0.99843951861876,0.9827557811858052,0.9506311275652862
2000,DEV,DEV,0.001,3,0.4388666666666667,0.0052785730394997,0.0011666666666666,0.0001154700538379,0.9973477129894,0.9827557811858052,0.9506311275652862
2000,DEV,DEV,0.0025,3,0.5668666666666667,0.0048809152147249,0.0023666666666666,0.0003214550253664,0.995844294859869,0.9827557811858052,0.9506311275652862
2000,DEV,DEV,0.005,3,0.6548666666666666,0.0035246749259092,0.0041333333333333,0.0004725815626252,0.9937306095063736,0.9827557811858052,0.9506311275652862
2000,DEV,DEV,0.01,3,0.7374999999999999,0.0021377558326431,0.0082666666666666,0.0006658328118479,0.9889172677585488,0.9827557811858052,0.9506311275652862
2000,DEV,DEV,0.02,3,0.8205666666666667,0.0008144527815247,0.0178666666666666,0.0001527525231651,0.9786904985219412,0.9827557811858052,0.9506311275652862
2000,FINAL,DOMAIN_OOD_EXACT,0.0001,3,0.0451677346568384,0.0063985688228593,0.0002510162107888,3.7106476987127774e-05,0.9969413744259144,0.9531885474693632,0.8785816829864904
2000,FINAL,DOMAIN_OOD_EXACT,0.0005,3,0.1119494499516171,0.0021605924980215,0.0006153945812887,2.804986003937874e-05,0.9969823221115388,0.9531885474693632,0.8785816829864904
2000,FINAL,DOMAIN_OOD_EXACT,0.001,3,0.1706465465344945,0.010949202083476,0.0017733080697662,0.0001214594568332,0.9943094166559262,0.9531885474693632,0.8785816829864904
2000,FINAL,DOMAIN_OOD_EXACT,0.0025,3,0.2828724699335126,0.0097338902711966,0.0050851025927545,0.0003017805171514,0.99020176271531,0.9531885474693632,0.8785816829864904
2000,FINAL,DOMAIN_OOD_EXACT,0.005,3,0.3847083428092377,0.0116898576495777,0.0106884322013311,0.0003374737402091,0.9849302384367083,0.9531885474693632,0.8785816829864904
2000,FINAL,DOMAIN_OOD_EXACT,0.01,3,0.4851038782089872,0.0040535237047612,0.0207533725242513,0.0004699921249228,0.9769787637468568,0.9531885474693632,0.8785816829864904
2000,FINAL,DOMAIN_OOD_EXACT,0.02,3,0.5948326220830936,0.0082396535643663,0.0405107775024696,0.0005357082675678,0.9638487306628504,0.9531885474693632,0.8785816829864904
2000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,3,0.0452379231417901,0.0066267309829635,0.0002443792766373,2.4437927663700017e-05,0.9967896024273164,0.9501600911651544,0.872315959176262
2000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,3,0.1149403686302854,0.0023897625812529,0.0005865102639295,2.4437927663750023e-05,0.9969914517417888,0.9501600911651544,0.872315959176262
2000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.001,3,0.1729863871822671,0.0117258433354784,0.0017106549364613,0.0001221896383186,0.9941834460529932,0.9501600911651544,0.872315959176262
2000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0025,3,0.2879171184194675,0.0105380067969313,0.0050179211469533,0.0003035947402017,0.9898003231481464,0.9501600911651544,0.872315959176262
2000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3,0.3864931935911336,0.0111465106847857,0.0104920169436298,0.0003281726470915,0.9841958366049568,0.9501600911651544,0.872315959176262
2000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.01,3,0.4851945548729068,0.0042339399775514,0.0204301075268816,0.0004681633445911,0.975693284552809,0.9501600911651544,0.872315959176262
2000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.02,3,0.5919431393807976,0.0082868748358764,0.0398012381883349,0.0005558397559215,0.9617456900770652,0.9501600911651544,0.872315959176262
2000,FINAL,LATE_TEST_Q4,0.0001,3,0.0397439674335145,0.005816244203229,0.0001058761249338,0.0,0.9993168882874792,0.9823526327757668,0.9551210598852552
2000,FINAL,LATE_TEST_Q4,0.0005,3,0.1104207397091512,0.0025281366185779,0.0002117522498676,0.0001058761249338,0.9995172019519016,0.9823526327757668,0.9551210598852552
2000,FINAL,LATE_TEST_Q4,0.001,3,0.1716525170286652,0.0117699279866103,0.0006352567496029,0.0001058761249338,0.9990669306645916,0.9823526327757668,0.9551210598852552
2000,FINAL,LATE_TEST_Q4,0.0025,3,0.2844121874358356,0.0130509461670669,0.0025763190400564,0.0001617284522659,0.9977088867220458,0.9823526327757668,0.9551210598852552
2000,FINAL,LATE_TEST_Q4,0.005,3,0.3823080425292589,0.0150524305151172,0.0061408152461619,0.000280121896354,0.9959537514376482,0.9823526327757668,0.9551210598852552
2000,FINAL,LATE_TEST_Q4,0.01,3,0.4735799030504298,0.006674436195701,0.0129874713252161,0.0003234569045319,0.9931083896892222,0.9823526327757668,0.9551210598852552
