budget,system,n,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,AP_mean,P_at_R90_mean,low_fpr_comparison_valid
2000,TFIDF_XGB,3,0.3776171874999999,0.0114946232264693,0.0055628606910658,0.0001581608232494,0.982795177220744,0.9398255266136244,0.8443637459605333,False
5000,TFIDF_XGB,3,0.4681857638888888,0.014850158141027,0.0054240631163707,4.77635211871504e-05,0.9864128030087504,0.9615149464616906,0.8994714376099745,False
10000,TFIDF_XGB,3,0.5868880208333334,0.0038008122518576,0.0058769815180071,6.230813831996083e-05,0.98823991270657,0.9740151910517628,0.9360129043870674,False
20000,TFIDF_XGB,3,0.670546875,0.0084282819212258,0.0061691869384176,0.0001368616699188,0.989186119089346,0.9795212424547264,0.9473992911820042,True
50000,TFIDF_XGB,3,0.7378472222222222,0.0104087887962531,0.0063006793776024,0.0002921825909702,0.989957933629331,0.983550372203934,0.958584848233157,False
100000,TFIDF_XGB,3,0.7581510416666667,0.0033405733953632,0.0062531959967856,7.926997740601722e-05,0.9902939535033868,0.9851564815352828,0.9635508388074836,False
200000,TFIDF_XGB,3,0.7720312500000001,0.0029388167944728,0.0063664255971947,0.0001823725287868,0.9902967346192773,0.9863710596571196,0.9667406466132356,True
20000,DEEP_DUAL_R0,3,0.7090190972222222,0.020603560105016,0.0057162685367813,0.0001316445415365,0.9905057670320212,0.9836438322956654,0.9732131906768524,True
200000,DEEP_DUAL_R0,3,0.9451953125,0.0020400367510773,0.0071846007743443,0.0002928667000569,0.9910487973086104,0.995170004932824,0.99586230035265,True
20000,DEEP_DUAL_RT,3,0.7425868055555555,0.0160582107290275,0.0055226824457593,0.0001144017807244,0.991239402423335,0.9858570098479618,0.9788704560943918,True
200000,DEEP_DUAL_RT,3,0.9476692708333332,0.0020813792919466,0.006954489005771,0.0001930339727039,0.991355213736406,0.9952530488727704,0.995695980717561,True
20000,DEEP_DUAL_RUT,3,0.8222482638888889,0.023829495824260003,0.005785667324128863,0.00019010904638283458,0.9916984660558561,0.9897673658815566,0.9886926760761533,True
200000,DEEP_DUAL_RUT,3,0.955642361111111,0.002057305401677037,0.0070421506318942215,0.0001781539688546599,0.9913198359493736,0.9965364509523318,0.9967386046647003,True
