seed,budget,rep,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,AP,P_at_R90,fpr_ci_lo,fpr_ci_hi,AUC,FPR_at_TPR90,FPR_at_TPR95
122,20000,R0,FINAL,OFFICIAL_TEST,0.005,2.9355468750000004,0.695390625,0.0055884286653517,0.9905408413087023,0.8171302671440376,53406,510,90750,23394,5.588428665351742,0.9831121007586712,0.9715936243780396,,,,,
122,200000,R0,FINAL,OFFICIAL_TEST,0.005,1.7001953125000002,0.943671875,0.0073197457812842,0.9908670804735992,0.9666937882647958,72474,668,90592,4326,7.319745781284243,0.9948197064319858,0.9958378339454166,,,,,
122,20000,RT,FINAL,OFFICIAL_TEST,0.005,3.3847656250000004,0.7262109375,0.0054678939294323,0.9911323571225475,0.8382379463748947,55773,499,90761,21027,5.467893929432391,0.9854048225553864,0.9803006665721176,,,,,
122,200000,RT,FINAL,OFFICIAL_TEST,0.005,2.0273437500000004,0.9480338541666666,0.0071772956388341,0.9910840683872372,0.969081083958899,72809,655,90605,3991,7.1772956388341,0.9950803713931176,0.9961574440526731,,,,,
42,20000,R0,FINAL,OFFICIAL_TEST,0.005,2.2246093750000004,0.7327213541666666,0.005708963401271,0.990826495756594,0.8424480141323711,56273,521,90739,20527,5.7089634012710935,0.9835989948937612,0.970406143392624,,,,,
42,200000,R0,FINAL,OFFICIAL_TEST,0.005,2.3417968750000004,0.9444010416666668,0.0068485645408722,0.9914564964800764,0.9673568737287854,72530,625,90635,4270,6.848564540872233,0.9955753183759982,0.9955952209586872,,,,,
42,20000,RT,FINAL,OFFICIAL_TEST,0.005,2.1308593750000004,0.7583072916666667,0.0056541748849441,0.991217619225925,0.859259040677516,58238,516,90744,18562,5.654174884944116,0.9850406445164328,0.970937337584807,,,,,
42,200000,RT,FINAL,OFFICIAL_TEST,0.005,2.6171875000000004,0.9454296875,0.0068485645408722,0.9914657126471312,0.967900609195249,72609,625,90635,4191,6.848564540872233,0.995505293939922,0.994850032367115,,,,,
82,20000,R0,FINAL,OFFICIAL_TEST,0.005,2.6855468750000004,0.6989453125,0.0058514135437212,0.9901499640307676,0.8194453985482356,53679,534,90726,23121,5.851413543721236,0.9842204012345636,0.977639804259893,,,,,
82,200000,R0,FINAL,OFFICIAL_TEST,0.005,0.98681640625,0.9475130208333332,0.0073854920008766,0.9908228149721552,0.9686840651477938,72769,674,90586,4031,7.385492000876616,0.995114989990488,0.9961538461538462,,,,,
82,20000,RT,FINAL,OFFICIAL_TEST,0.005,2.8066406250000004,0.7432421875,0.0054459785229016,0.9913682309215324,0.8495587075265296,57081,497,90763,19719,5.4459785229016,0.987125562472066,0.985373364126251,,,,,
82,200000,RT,FINAL,OFFICIAL_TEST,0.005,1.7919921875000002,0.9495442708333334,0.0068376068376068,0.9915158601748494,0.9700762891672045,72925,624,90636,3875,6.837606837606837,0.9951734812852716,0.9960804657328952,,,,,
42,20000,RUT,FINAL,OFFICIAL_TEST,0.005,2.8203125000000004,0.8312239583333333,0.005665132588209511,0.9919664361743454,0.9045092274450072,63838,517,90743,12962,5.665132588209511,0.990258654465163,0.9883902146094565,0.005188476104323165,0.0061736094104311474,0.9905339396310451,0.008897655051501205,0.02504930966469428
42,200000,RUT,FINAL,OFFICIAL_TEST,0.005,1.7480468750000002,0.9556510416666667,0.00698005698005698,0.9913954964812038,0.9731951654500732,73394,637,90623,3406,6.98005698005698,0.9965796567768025,0.9960846972117862,0.006450143492635242,0.007541660737766481,0.9965855776650048,0.002980495288187596,0.005993863686171379
82,20000,RUT,FINAL,OFFICIAL_TEST,0.005,3.6250000000000004,0.795234375,0.006004821389436774,0.991107072149557,0.882431983355247,61074,548,90712,15726,6.004821389436774,0.9893381096283301,0.9878533253308183,0.005513851307061697,0.006527576767985241,0.9896081852045894,0.009314047775586237,0.024611001534078455
82,200000,RUT,FINAL,OFFICIAL_TEST,0.005,1.7041015625000002,0.9535807291666667,0.006903353057199211,0.9914709266905841,0.972156771645704,73235,630,90630,3565,6.903353057199211,0.9964836737207893,0.9968436072236715,0.006376397680328487,0.007462005923669265,0.9965694269663371,0.0023997370151216304,0.006070567609029147
122,20000,RUT,FINAL,OFFICIAL_TEST,0.005,3.2089843750000004,0.8402864583333334,0.005687047994740302,0.9920218898436659,0.9098714866798728,64534,519,90741,12266,5.687047994740302,0.9897053335511763,0.9898344882881851,0.005209455096715778,0.006196458934367736,0.9895807518525368,0.007779969318430857,0.022529037913653297
122,200000,RUT,FINAL,OFFICIAL_TEST,0.005,1.1904296875000002,0.9576953125,0.0072430418584264735,0.9910930846763326,0.9741080179058617,73551,661,90599,3249,7.243041858426474,0.9965460223594037,0.9972875095586432,0.0067031102495230845,0.007814639268412695,0.996607038141368,0.0020600482138943676,0.005665132588209511
