budget,contrast,n,mean_delta_tpr_pp,ci95_lo_pp,ci95_hi_pp,positive_pairs,negative_pairs,exact_signflip_p
20000,RUT-R0,3,11.322916666666668,4.504837541831811,18.140995791501524,3,0,0.25
20000,RUT-RT,3,7.966145833333334,0.1196350711988814,15.812656595467786,3,0,0.25
200000,RUT-R0,3,1.0447048611111085,0.04156358140999135,2.0478461408122253,3,0,0.25
200000,RUT-RT,3,0.797309027777778,-0.052439438054978534,1.6470574936105349,3,0,0.25
