system,reps,AP,AP_ci95_lo,AP_ci95_hi,P_at_R90,P_at_R90_ci95_lo,P_at_R90_ci95_hi
FULL,1000,0.9967911643979621,0.9965925807434579,0.9969949862992781,0.997144217039505,0.9967336518268198,0.9975332159116624
CASCADE,1000,0.9853851042195743,0.9847603630037718,0.9860194172314729,0.9977639285611241,0.9974171544036031,0.9981532213007854
