rep,scenario,n,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,AP_mean,P_at_R90_mean
R0,DOMAIN_OOD_EXACT,10,0.7158071463926904,0.03069312110796777,0.01061798571636782,0.0005741035052706446,0.9918850738478474,0.9891267902278293,0.9806451519189594
R0,DOMAIN_TEMPLATE_OOD_EXACT,10,0.7083064691001084,0.03256133379531979,0.01031280547409575,0.0005898946559215416,0.9914469719106085,0.9883039859445614,0.979928474226678
R0,LATE_TEST_Q4,10,0.7360507780069097,0.0342787003949746,0.00753838009528845,0.000588012439729204,0.9974133665922909,0.9955287050252932,0.9922570666521006
R0,OFFICIAL_TEST,10,0.7047161458333333,0.02986882785970475,0.00554898093359628,0.00029485068993926987,0.990717534403602,0.983949673998312,0.9744032273998281
R0,TEMPLATE_OOD_EXACT,10,0.6974378860091937,0.03184317263165653,0.0054304855766568304,0.00029391738630847277,0.9901684167487887,0.9827400336845085,0.9730116544279271
RT,DOMAIN_OOD_EXACT,10,0.751532420970957,0.04596254282874215,0.01033619977651456,0.00047550511252144174,0.992464620119861,0.9905898867818896,0.9842185712248142
RT,DOMAIN_TEMPLATE_OOD_EXACT,10,0.7453371882905674,0.049558303898334786,0.01008064516129026,0.000514068523166238,0.992041592438867,0.9898521918183786,0.9835177459008012
RT,LATE_TEST_Q4,10,0.7817697313800583,0.040126923657012994,0.0075701429327686195,0.0010484172068122835,0.9975619932732739,0.9960193031260427,0.9934769682040219
RT,OFFICIAL_TEST,10,0.7417421875000001,0.04664756093156122,0.00536050843743145,0.0002539940045176416,0.9914678753522924,0.985962928939516,0.9796215466530492
RT,TEMPLATE_OOD_EXACT,10,0.735443751938859,0.050000003603283875,0.00527213332595091,0.00027257166996075245,0.9909332322969411,0.9848558402331724,0.9785430617621032
RU,DOMAIN_OOD_EXACT,10,0.8044012789126567,0.05184587014135214,0.01030462031773788,0.0008322351403501131,0.992972534590263,0.9922575174233657,0.9891988942344314
RU,DOMAIN_TEMPLATE_OOD_EXACT,10,0.7999826526924467,0.05501526874042926,0.00998044965786896,0.0007850793877940629,0.992648607659764,0.9916949071824543,0.9887952367644948
RU,LATE_TEST_Q4,10,0.8072792522563539,0.04448018518642623,0.00946532556908413,0.0007489899217155968,0.9970338263596249,0.9963920260568532,0.9954037615884147
RU,OFFICIAL_TEST,10,0.79860546875,0.051300947376059766,0.00562678062678058,0.0002432867875053141,0.9916690252533413,0.988821949993986,0.9865795970850177
RU,TEMPLATE_OOD_EXACT,10,0.7937519388589639,0.0545540014112669,0.00545706217817392,0.0002321523757587419,0.9912896792932188,0.9880268267105873,0.9860909760288576
RUT,DOMAIN_OOD_EXACT,10,0.8167850597316424,0.04654997747981389,0.01045280085507455,0.0008336716955064544,0.9929829105130601,0.992964978220653,0.9901220516400965
RUT,DOMAIN_TEMPLATE_OOD_EXACT,10,0.8116834116371521,0.05000815914178927,0.01012952101661772,0.0008263449145751347,0.992650505771983,0.9924258297913507,0.989676678385344
RUT,LATE_TEST_Q4,10,0.8327057500200862,0.041382683757775686,0.0099735309687665,0.0012712975248894256,0.996979386115082,0.9966463826669516,0.9957962089580803
RUT,OFFICIAL_TEST,10,0.81177734375,0.045741164811388325,0.00570896340127104,0.00023227574104150162,0.99168912937591,0.9896943287876028,0.9879634612833156
RUT,TEMPLATE_OOD_EXACT,10,0.8063242054203446,0.04922214130476389,0.00554122141631136,0.00025643577002698446,0.9912997163132339,0.9889071661182607,0.9874089655867536
