scenario,contrast,n_pairs,RUT_tpr_mean,R0_tpr_mean,mean_delta_tpr_pp,ci95_lo_pp,ci95_hi_pp,positive_pairs,negative_pairs,exact_signflip_p_two_sided,mean_delta_fpr_pp,mean_delta_AP_pp,holm_p_shift_family,primary_official
OFFICIAL_TEST,RUT_20k - R0_20k,10,0.7751145833333334,0.7142773437499998,6.0837239583333345,5.380999309596069,6.786448607070601,10,0,0.001953125,-0.047337278106512996,0.5823418018033855,,True
DOMAIN_OOD_EXACT,RUT_20k - R0_20k,10,0.7820724806357107,0.7256317641235569,5.64407165121537,4.947913757790448,6.340229544640291,10,0,0.001953125,-0.14065005101297007,0.44722497449208753,0.0078125,False
TEMPLATE_OOD_EXACT,RUT_20k - R0_20k,10,0.7738105981556164,0.7112510223074537,6.255957584816266,5.494942680952364,7.016972488680167,10,0,0.001953125,-0.045955373456621,0.6249357669558275,0.0078125,False
DOMAIN_TEMPLATE_OOD_EXACT,RUT_20k - R0_20k,10,0.7814354897000362,0.7225659559089267,5.886953379110951,5.128626479020776,6.645280279201125,10,0,0.001953125,-0.134897360703814,0.48350648617525693,0.0078125,False
LATE_TEST_Q4,RUT_20k - R0_20k,10,0.740619727362811,0.6855673692385977,5.505235812421331,4.337602702595595,6.672868922247066,10,0,0.001953125,-0.05823186871360299,0.1784257115197707,0.0078125,False
