budget,reference,candidate,scenario,n_pairs,margin_tpr_pp,RUT_tpr_mean,R0_200k_tpr_mean,mean_delta_tpr_pp,ci95_two_sided_lo_pp,ci95_two_sided_hi_pp,ci95_one_sided_lower_pp,exact_signflip_p_NI_one_sided,NI_reject_alpha_0_05,pairs_within_margin,candidate_better_pairs,mean_delta_fpr_pp,mean_delta_AP_pp,mean_delta_P_at_R90_pp,NEW_N5_exact_signflip_p_NI_one_sided,NEW_N5_pairs_within_margin
10000,R0_200k,RUT_10000,OFFICIAL_TEST,10,1.0,0.7354205729166667,0.7792447916666667,-4.382421875000007,-5.0747021046367875,-3.6901416453632256,-4.94340316436653,1.0,False,0,0,-0.11122068814376998,-0.07696344976781955,-0.1785473105985813,1.0,0
10000,R0_200k,RUT_10000,DOMAIN_OOD_EXACT,10,1.0,0.7426174900670225,0.7895412770397721,-4.692378697274954,-5.389180351787855,-3.9955770427620516,-5.25702387107468,1.0,False,0,0,-0.22810085993295207,-0.0663861612286687,-0.14405414785165993,1.0,0
10000,R0_200k,RUT_10000,TEMPLATE_OOD_EXACT,10,1.0,0.7322118503059872,0.780168645477876,-4.795679517188868,-5.538296183386656,-4.053062850991082,-5.3974503566179814,1.0,False,0,0,-0.11328276396656098,-0.11513986703054369,-0.24928596137436923,1.0,0
10000,R0_200k,RUT_10000,DOMAIN_TEMPLATE_OOD_EXACT,10,1.0,0.7400896277556921,0.7908782074448861,-5.0788579689194036,-5.82482722095879,-4.332888716880017,-5.683345537568299,1.0,False,0,0,-0.227028347996093,-0.1001754334206273,-0.2381729699002222,1.0,0
10000,R0_200k,RUT_10000,LATE_TEST_Q4,10,1.0,0.7018265084763919,0.7543587134095716,-5.2532204933179765,-6.539342476994693,-3.967098509641259,-6.295414590156681,1.0,False,0,0,-0.266807834833246,-0.007478022027963549,-0.06646058928544973,1.0,0
20000,R0_200k,RUT_20000,OFFICIAL_TEST,10,1.0,0.7751145833333334,0.7792447916666667,-0.4130208333333374,-1.1400302896310686,0.313988622964394,-1.002144550458031,0.0341796875,True,7,1,-0.09587990357221698,0.12798636089285442,0.4440552787368435,0.09375,4
20000,R0_200k,RUT_20000,DOMAIN_OOD_EXACT,10,1.0,0.7820724806357107,0.7895412770397721,-0.7468796404061495,-1.4874912258961346,-0.006268054916164483,-1.347025685839141,0.2783203125,False,5,1,-0.20818150901228605,0.09583070082309741,0.3201215236766142,0.5,2
20000,R0_200k,RUT_20000,TEMPLATE_OOD_EXACT,10,1.0,0.7738105981556164,0.780168645477876,-0.6358047322259552,-1.3135232701057427,0.04191380565383229,-1.1849861228412437,0.13671875,False,6,1,-0.09777974641493001,0.10866815521568761,0.41521719064306906,0.3125,3
20000,R0_200k,RUT_20000,DOMAIN_TEMPLATE_OOD_EXACT,10,1.0,0.7814354897000362,0.7908782074448861,-0.9442717744849994,-1.636675947232847,-0.25186760173715195,-1.5053534997202331,0.4453125,False,5,1,-0.20796676441838202,0.07920895830968444,0.2714065077184713,0.75,2
20000,R0_200k,RUT_20000,LATE_TEST_Q4,10,1.0,0.740619727362811,0.7543587134095716,-1.3738986046760715,-2.622501351143307,-0.12529585820883588,-2.385689420928725,0.73828125,False,3,2,-0.219163578613023,0.047813253155578606,0.08171803074307427,0.96875,1
