source_group,budget,mean_delta_tpr_pp_across_seed_scenario_cells,min_delta_tpr_pp_across_seed_scenario_cells,cells_within_1pp_margin,cells_total
HISTORICAL_N5,10000,-4.913686018439236,-8.29427676156297,0,25
HISTORICAL_N5,20000,-0.5939713425649749,-3.76549987948257,14,25
HISTORICAL_N5,50000,4.115853845208235,1.3256916360909532,25,25
HISTORICAL_N5,100000,6.177837650368216,4.845420128158818,25,25
NEW_N5,10000,-4.767337402241246,-6.314419949403682,0,25
NEW_N5,20000,-1.0515788914856303,-2.0862904737673715,12,25
NEW_N5,50000,2.812972206505358,1.0310934947374117,25,25
NEW_N5,100000,6.713164973364511,5.129028374202349,25,25
