run,label_rank_seed,model_seed,budget,variant,sample_hash,n_train,n_test,AP,AUC,P_at_R90,FPR_at_TPR90
3,9104,202,1000,R0,1961fbf3c821cc587df939b653e680ca2858d8b9e64b0044b73425694758cea6,1000,2598,0.8989582149747143,0.9446701161266154,0.7658582089552238,0.14887307236061684
3,9104,202,1000,RUT,1961fbf3c821cc587df939b653e680ca2858d8b9e64b0044b73425694758cea6,1000,2598,0.9260878548985786,0.9579567802959355,0.801363193768257,0.12099644128113879
3,9104,202,2000,R0,04da94645634e864a78972e1754693c12c3bc1dffee9139fc7a1573051485b7a,2000,2598,0.922772375848187,0.9578429689288463,0.8177290836653387,0.10854092526690391
3,9104,202,2000,RUT,04da94645634e864a78972e1754693c12c3bc1dffee9139fc7a1573051485b7a,2000,2598,0.9480726759008431,0.9712902697134296,0.8753993610223643,0.0693950177935943
4,9105,222,200,R0,bbc7fef7586f3ee0b0e79292e9347ad42e878a73626e8237071ee9182dfe2056,200,2598,0.863421070118678,0.9277070196249818,0.7278368794326241,0.18208778173190984
4,9105,222,200,RUT,bbc7fef7586f3ee0b0e79292e9347ad42e878a73626e8237071ee9182dfe2056,200,2598,0.8676993427720872,0.931838697425652,0.7452402538531279,0.16666666666666666
4,9105,222,500,R0,32047453f92f87486bdadf37d96d0097c2af0afd4a5a22a2bc540a454f3fe4cb,500,2598,0.8999857444148919,0.9468585461280723,0.7711069418386491,0.14472123368920523
4,9105,222,500,RUT,32047453f92f87486bdadf37d96d0097c2af0afd4a5a22a2bc540a454f3fe4cb,500,2598,0.9125953930702196,0.9525139955463986,0.8035190615835777,0.11921708185053381
4,9105,222,1000,R0,cacaa48a365f706d2b84a54d583e6d0ad9962de58e3ba0186ecf174a0ecdb4e8,1000,2598,0.9109678310945176,0.951334259432686,0.8017578125,0.12040332147093713
4,9105,222,1000,RUT,cacaa48a365f706d2b84a54d583e6d0ad9962de58e3ba0186ecf174a0ecdb4e8,1000,2598,0.9293267149372022,0.9597133774531228,0.8326572008113591,0.09786476868327403
4,9105,222,2000,R0,89a433132e55f8a2b5385c79f7979441a16faa017f3e65be906a53e91233b0ff,2000,2598,0.9387833634132964,0.9677029354227799,0.8623949579831933,0.07769869513641756
4,9105,222,2000,RUT,89a433132e55f8a2b5385c79f7979441a16faa017f3e65be906a53e91233b0ff,2000,2598,0.9505580259381226,0.9725005723085888,0.8678646934460887,0.07413997627520759
5,9106,242,200,R0,5053673bbf43198f1c3247ffc227f9e797033e081d857ad0b1b9b7d3dd8e5ef7,200,2598,0.8263665848255715,0.9022861126719527,0.6334876543209876,0.28173190984578883
5,9106,242,200,RUT,5053673bbf43198f1c3247ffc227f9e797033e081d857ad0b1b9b7d3dd8e5ef7,200,2598,0.8606246753457341,0.9222245634846309,0.6768342951360263,0.232502965599051
5,9106,242,500,R0,ca55fd09bebbbb8807b4e60b26d9ba7a124e82d552e50df49daa870f739ebf57,500,2598,0.8886157659225086,0.9425050987492457,0.7601851851851852,0.15361803084223014
5,9106,242,500,RUT,ca55fd09bebbbb8807b4e60b26d9ba7a124e82d552e50df49daa870f739ebf57,500,2598,0.9086678204496663,0.952284421760213,0.7828571428571428,0.13523131672597866
5,9106,242,1000,R0,989c180e55267d7b108246005c1de9467ce996a22def1a7105cdc561c5323247,1000,2598,0.9193936851549471,0.9575971363759339,0.8242971887550201,0.10379596678529063
5,9106,242,1000,RUT,989c180e55267d7b108246005c1de9467ce996a22def1a7105cdc561c5323247,1000,2598,0.9425306066688115,0.969837386318703,0.8509316770186336,0.08540925266903915
5,9106,242,2000,R0,d2ea9f234b2faddd57f204648d8c650723cb3cb9fe6a3f350e7742f5b500f076,2000,2598,0.9334204017157713,0.9635094743085472,0.8507772020725388,0.08540925266903915
5,9106,242,2000,RUT,d2ea9f234b2faddd57f204648d8c650723cb3cb9fe6a3f350e7742f5b500f076,2000,2598,0.9558109279406217,0.9763155293334165,0.8861439312567132,0.06287069988137604
6,9107,262,200,R0,4d30b7970cf7733f73f943df0f3fc71f1b7bf256f4842bde775054103906a4ff,200,2598,0.8316966963125922,0.893946015691661,0.5923520923520924,0.3351126927639383
6,9107,262,200,RUT,4d30b7970cf7733f73f943df0f3fc71f1b7bf256f4842bde775054103906a4ff,200,2598,0.8729854608658028,0.9166029323010966,0.643921568627451,0.269276393831554
6,9107,262,500,R0,c6443a5e5449796350cafac042e7f0448f147eacc769f46ed9abecf9555ac729,500,2598,0.8845249037448104,0.9314497877255417,0.7170305676855895,0.19217081850533807
6,9107,262,500,RUT,c6443a5e5449796350cafac042e7f0448f147eacc769f46ed9abecf9555ac729,500,2598,0.9232934438188861,0.9532443393477764,0.7552897884084636,0.15776986951364175
6,9107,262,1000,R0,7027d22a7addd565bcbff6bf00db516f7fa175ab1ede25435fafa10520da98f3,1000,2598,0.9125048008666761,0.9516867494953278,0.7767265846736046,0.13997627520759193
6,9107,262,1000,RUT,7027d22a7addd565bcbff6bf00db516f7fa175ab1ede25435fafa10520da98f3,1000,2598,0.9331039331861435,0.9633241243678592,0.8311425682507584,0.09905100830367734
6,9107,262,2000,R0,07c50aca027d8371f65a012e20eaab0dd74ac2ecc10f1069e8c72d58bc269fbc,2000,2598,0.9364146233507695,0.9674063755176792,0.842374616171955,0.09134045077105575
6,9107,262,2000,RUT,07c50aca027d8371f65a012e20eaab0dd74ac2ecc10f1069e8c72d58bc269fbc,2000,2598,0.9541766346800764,0.9752541570414768,0.879957127545552,0.066429418742586
7,9108,282,200,R0,2abd410c6354ec69ac63fcb1b92017a70ad0aa200d08604c99053e5091273c36,200,2598,0.8453548954244425,0.9073809598135313,0.6427457098283932,0.27164887307236063
7,9108,282,200,RUT,2abd410c6354ec69ac63fcb1b92017a70ad0aa200d08604c99053e5091273c36,200,2598,0.8617294779878762,0.9123665480427046,0.6200906344410876,0.29833926453143533
