budget,R0_AP_mean,RUT_AP_mean,delta_AP,delta_AP_pp,ci95_lo,ci95_hi,ci95_lo_pp,ci95_hi_pp,positive_pairs,negative_pairs,p_raw,p_holm
200,0.8391172987745161,0.8651461740503226,0.026028875275806364,2.6028875275806365,0.01700321888168972,0.035054531669923006,1.7003218881689721,3.5054531669923006,10,0,0.001953125,0.0078125
500,0.889623584788709,0.9175671370477747,0.02794355225906566,2.7943552259065663,0.022245869807620514,0.03364123471051081,2.2245869807620515,3.364123471051081,10,0,0.001953125,0.0078125
1000,0.9169648427469739,0.9404951456733238,0.023530302926350187,2.353030292635019,0.020207768183069474,0.0268528376696309,2.020776818306947,2.68528376696309,10,0,0.001953125,0.0078125
2000,0.9340084404544653,0.9560829866627287,0.02207454620826348,2.207454620826348,0.018515684229096652,0.025633408187430307,1.8515684229096652,2.563340818743031,10,0,0.001953125,0.0078125
