budget,variant,AP_mean,AP_sd,AUC_mean,P_at_R90_mean,FPR_at_TPR90_mean
200,R0,0.8391172987745161,0.013344405219763947,0.9042541388316581,0.6377907548708969,0.2787069988137604
200,RUT,0.8651461740503226,0.011747527313588784,0.9185269947555723,0.670941615122938,0.24205219454329777
500,R0,0.889623584788709,0.0072192043767177515,0.9381372786206323,0.7446285794692259,0.16785290628707
500,RUT,0.9175671370477747,0.005866615376593181,0.9527236035670434,0.7831499382057465,0.13534994068801898
1000,R0,0.9169648427469737,0.008550435661025728,0.9546058484734969,0.8061516043174276,0.11767497034400949
1000,RUT,0.9404951456733238,0.008169226525394863,0.9666749261201639,0.8450056119713636,0.08967971530249111
2000,R0,0.9340084404544653,0.0050132486771659835,0.964230583130424,0.847080589888375,0.08807829181494661
2000,RUT,0.9560829866627287,0.0041960018069448655,0.9755867463736447,0.8913258954520279,0.05954922894424673
