role,iid_n,sha_overlap_n,sha_overlap_pct,status
SSL,3051,1182,38.74139626352016,FAIL
DEV,3051,109,3.572599147820387,FAIL
CAL,3051,379,12.42215666994428,FAIL
FINAL,3051,0,0.0,EXPECTED_FINAL
