variant,n,modalities,fusion,tpr_mean,tpr_sd,tpr_min,tpr_max,fpr_mean,fpr_sd,fpr_min,fpr_max,AP_mean,AP_sd,AP_min,AP_max,AUC_mean,AUC_sd,AUC_min,AUC_max,P_at_R90_mean,P_at_R90_sd,P_at_R90_min,P_at_R90_max,FPR_at_TPR90_mean,FPR_at_TPR90_sd,FPR_at_TPR90_min,FPR_at_TPR90_max,train_minutes_mean,train_minutes_sd,train_minutes_min,train_minutes_max,gate_url_mean_mean,gate_text_mean_mean,gate_dom_mean_mean
P0_URL,10,url,none,0.8793200000000001,0.009719716502495783,0.8656,0.896,0.004,0.0007999999999999999,0.0028,0.0052,0.9956191467475641,0.0002622005148763244,0.9951944037170843,0.9961393086065914,0.9954858879999999,0.00019777432957793556,0.9952734400000001,0.99590648,0.9942046189295717,0.0011116448335823153,0.9929390997352162,0.9960212201591512,0.00528,0.0010293471501663352,0.0036,0.0064,1.6769418203830717,0.010070967922956447,1.6606933077176411,1.688874646027883,,,
P1_DUAL_EQUAL,10,url+text,equal,0.9311599999999999,0.007434334760644908,0.922,0.9416,0.00488,0.000859974159818512,0.0036,0.0064,0.9962750077151041,0.0006949105953188194,0.9948598806158359,0.9970031988860952,0.9969238239999999,0.00024932351866598226,0.99654392,0.9972960799999999,0.996528578281896,0.0005745036567927362,0.9951370468611848,0.9973753280839895,0.0031600000000000005,0.0005146735750831676,0.0024,0.0044,5.831166082223255,0.041936446574783764,5.775232044855754,5.9022350192070006,,,
P2_TRI_EQUAL,10,url+text+dom,equal,0.9384399999999999,0.007379129728874205,0.9272,0.948,0.005679999999999999,0.0011123548594460912,0.0044,0.0076,0.9972694493401434,0.0004489128669370427,0.9962952100498117,0.9977938342213818,0.9976072559999999,0.00019095266587411465,0.9973539200000001,0.99789536,0.9967478057120586,0.00037386884401846755,0.9960247349823321,0.9973509933774835,0.00296,0.0003373096170846272,0.0024,0.0036,6.481986461083094,0.021744361271421018,6.441425625483195,6.515111041069031,,,
P3_TRI_GATED,10,url+text+dom,gated,0.9442,0.006040603354706295,0.9356,0.9532,0.00616,0.0015572054742033529,0.0028,0.0084,0.9974770947744442,0.00044759684721722273,0.9964121435612067,0.9978517123542888,0.9977066640000001,0.00013535788309347499,0.9975248000000001,0.99791056,0.9971388978094391,0.0004644651321778506,0.9964726631393298,0.9977856510186005,0.0026000000000000003,0.0004320493798938574,0.002,0.0032,6.478621226946513,0.039411118748979505,6.402547132968903,6.541221670309702,0.33372580707073213,0.3310947477817535,0.3351794421672821
