replicate,model_seed,label_rank_seed,rep,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
1,162,9102,RUT,20000,FINAL,OFFICIAL_TEST,0.005,3.3007812500000004,0.8116796875,0.005599386368617138,0.9918692718940937,0.8927732584784601,62337,511,90749,14463,5.599386368617139,0.005125550230849498,0.0061050497664456044,0.9904607143988827,0.9911066457043521,0.9890256116754901,0.008404558404558405,0.02269340346263423
1,162,9102,RUT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.3007812500000004,0.8166847266257308,0.010518388961764562,0.9929571737609993,0.8962358329907804,61048,433,40733,13703,10.518388961764563,0.009555386198863326,0.011551336305100218,0.9933165989027026,0.9878836084600041,0.9907088376476132,0.015328183452363602,0.037530972161492496
1,162,9102,RUT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,3.3007812500000004,0.8062269099523394,0.005503571230828857,0.9913824493263745,0.8892690779292486,57176,497,89808,13742,5.503571230828857,0.00503145362872355,0.006007865450004538,0.9897346646785129,0.9909548401310925,0.9884934646596047,0.00822767288632966,0.021538120812801063
1,162,9102,RUT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.3007812500000004,0.8115070473436935,0.010312805474095797,0.9925386329078114,0.8929398010068956,56136,422,40498,13039,10.312805474095796,0.009356602733520862,0.011339417162008992,0.9928156175247365,0.9877838026793224,0.9902498767317205,0.014980449657869013,0.03567937438905181
1,162,9102,RUT,20000,FINAL,LATE_TEST_Q4,0.005,3.3007812500000004,0.8456037922815287,0.009105346744309158,0.9972836386607707,0.9152016695894144,31574,86,9359,5765,9.105346744309157,0.007289370635450126,0.011232980770853251,0.9970775911986236,0.9890209500975078,0.9962949789554805,0.013234515616728428,0.03028057173107464
