replicate,model_seed,label_rank_seed,rep,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
9,322,9110,RUT,20000,FINAL,OFFICIAL_TEST,0.005,3.8867187500000004,0.7383984375,0.005939075169844401,0.9905329164556078,0.8460809691833706,56709,542,90718,20091,5.939075169844401,0.0054508426681055995,0.006459099660424395,0.9884330254308008,0.989332534405476,0.9840038709493788,0.012316458470304624,0.028720140258601798
9,322,9110,RUT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.8867187500000004,0.7423178285240332,0.011320021376864402,0.9916718791886338,0.8490658424249843,55489,466,40700,19262,11.320021376864402,0.01032050648324216,0.01238932678402166,0.9916183814885211,0.9851455149287021,0.9862281934199743,0.0228343778846621,0.04664043142399067
9,322,9110,RUT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,3.8867187500000004,0.7268535491694633,0.005758263662034217,0.9900128680354159,0.8382648290441924,51547,520,89785,19371,5.758263662034217,0.005275160727857559,0.006273516052834825,0.98751168047064,0.9890937202468574,0.9831349053552452,0.012125574442168208,0.0278500636731078
9,322,9110,RUT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.8867187500000004,0.7311167329237441,0.010948191593352884,0.9912196460419811,0.841528145227042,50575,448,40472,18600,10.948191593352883,0.009962559354227095,0.012004108508217703,0.9909583249761215,0.9849591735582154,0.9855258162490509,0.022360703812316716,0.044868035190615836
9,322,9110,RUT,20000,FINAL,LATE_TEST_Q4,0.005,3.8867187500000004,0.7637055089852434,0.00984647961884595,0.9967492747037645,0.8648025717231759,28516,93,9352,8823,9.846479618845951,0.00795452797588894,0.012049214551518656,0.9963956665585849,0.9870267692153833,0.9949732398947337,0.017998941238750663,0.03970354685018528
