replicate,model_seed,label_rank_seed,rep,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
3,202,9104,RU,20000,FINAL,OFFICIAL_TEST,0.005,3.6621093750000004,0.7533333333333333,0.0053583168967784355,0.9916188190933242,0.8562062969403232,57856,489,90771,18944,5.358316896778436,0.004894968786643751,0.005853518071688215,0.9883648765684504,0.9888104763918567,0.986161440351528,0.010628972167433706,0.03163488932719702
3,202,9104,RU,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.6621093750000004,0.7578226378242432,0.00859932954379828,0.9937896915897688,0.8599121082631894,56648,354,40812,18103,8.59932954379828,0.007730040266363429,0.009538954362399214,0.9922831189315884,0.9857833329818125,0.9899660139181097,0.016567069912063352,0.048996744886556864
3,202,9104,RU,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,3.6621093750000004,0.7446064468823148,0.005115995792038093,0.9913268754223924,0.8504340263797852,52806,462,89843,18112,5.115995792038093,0.00466110307313776,0.005603107969845592,0.9875968255934817,0.988623042571141,0.9858987427794768,0.010110182160456232,0.030374840817230495
3,202,9104,RU,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.6621093750000004,0.7496205276472714,0.008284457478005864,0.9935050005747788,0.8545015613542173,51855,339,40581,17320,8.284457478005864,0.0074290457162883,0.00921069980347518,0.9917294007278171,0.9856198297488095,0.9896046921939822,0.016006842619745845,0.046480938416422285
3,202,9104,RU,20000,FINAL,LATE_TEST_Q4,0.005,3.6621093750000004,0.769088620477249,0.00942297511911064,0.9969103658959939,0.8683044825761586,28717,89,9356,8622,9.42297511911064,0.0075740630479439585,0.01158316434085325,0.996260335571145,0.9864794254623106,0.9952029848094519,0.017151932239280042,0.039491794600317626
