replicate,model_seed,label_rank_seed,rep,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
8,302,9109,RU,20000,FINAL,OFFICIAL_TEST,0.005,2.6679687500000004,0.8293359375,0.005555555555555556,0.9921028037383177,0.9034468085106383,63693,507,90753,13107,5.555555555555555,0.005083609009844503,0.006059334002599312,0.9883096963126743,0.9879965996163663,0.9868227567992005,0.010113960113960114,0.03110891957045803
8,302,9109,RU,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.6679687500000004,0.8352797955880189,0.009765340329398046,0.9936028007638447,0.9075884323829321,62438,402,40764,12313,9.765340329398047,0.008837968177199996,0.010762806265863813,0.9921902128140325,0.9851825685853952,0.9901395184552894,0.016275567215663412,0.048146528688723704
8,302,9109,RU,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.6679687500000004,0.8267576637807045,0.005414982559105255,0.9917288273202416,0.9017602411584216,58632,489,89816,12286,5.414982559105255,0.004946746311838042,0.005915405046674521,0.9875168613813503,0.9877255594920958,0.9864169486810996,0.009733680305630918,0.029544322019821715
8,302,9109,RU,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.6679687500000004,0.8330610769786773,0.009481915933528836,0.9933120744635008,0.9061561443509709,57627,388,40532,11548,9.481915933528835,0.008565645551871148,0.010468762801975316,0.9916238592702619,0.9849670495128136,0.9897796992720221,0.015713587487781035,0.045796676441837735
8,302,9109,RU,20000,FINAL,LATE_TEST_Q4,0.005,2.6679687500000004,0.8157958167063928,0.009740603493912123,0.9969888390665401,0.8973369469156895,30461,92,9353,6878,9.740603493912124,0.00785932105605655,0.011932791284793933,0.9956743195553107,0.9842816657664071,0.9954974969637727,0.016093170989941768,0.0459502382212811
