stream,n,max_len,truncation_pct,tokens_p50,tokens_p90,tokens_p95,tokens_p99,tokens_max
URL,10000,128,1.52,22.0,45.0,57.0,154.0,1215
TEXT,10000,256,67.97,801.0,4968.500000000002,8047.949999999986,14912.190000000004,86631
