role,URL_TPR,TEXT_TPR,URL_TEXT_TPR,TEXT_increment_given_URL_pp,URL_AP,TEXT_AP,URL_TEXT_AP,TEXT_increment_given_URL_AP_pp
DEV,0.8492,0.6162,0.9107,6.15,0.9937263967076158,0.9755889826756245,0.9967752246136058,0.3048827905990037
FINAL_AUDIT,0.7582,0.2345,0.7697,1.1500000000000066,0.9882124423060088,0.9029261717246695,0.990573675745718,0.2361233439709176
