budget,E0_AP_mean,E1_AP_mean,delta_AP,delta_AP_pp,ci95_lo,ci95_hi,ci95_lo_pp,ci95_hi_pp,positive_pairs,negative_pairs,p_raw,p_holm
200,0.8651461740503226,0.8423412395365816,-0.022804934513740983,-2.2804934513740984,-0.03376286868571451,-0.01184700034176746,-3.3762868685714507,-1.184700034176746,1,9,0.00390625,0.01171875
500,0.9175671370477747,0.9044212706527466,-0.013145866395028016,-1.3145866395028016,-0.01896913355562445,-0.0073225992344315835,-1.896913355562445,-0.7322599234431584,0,10,0.001953125,0.0078125
1000,0.9404951456733238,0.9355468920668892,-0.004948253606434727,-0.49482536064347266,-0.007513911512859654,-0.0023825957000097996,-0.7513911512859653,-0.23825957000097997,1,9,0.005859375,0.01171875
2000,0.9560829866627287,0.950981073556121,-0.005101913106607825,-0.5101913106607825,-0.007506349818367984,-0.002697476394847665,-0.7506349818367984,-0.2697476394847665,1,9,0.005859375,0.01171875
