run,label_rank_seed,model_seed,budget,variant,sample_hash,n_train,n_test,AP,AUC,P_at_R90,FPR_at_TPR90
3,9104,202,500,E0_SOURCE_RUT,e01d236d078a081c8237d043adc372cedeedef4d18b267411a0b3cd40a192d15,500,2598,0.9216655803670643,0.9535246404861502,0.7905859750240154,0.12930011862396204
3,9104,202,500,E1_TARGET_RUT,e01d236d078a081c8237d043adc372cedeedef4d18b267411a0b3cd40a192d15,500,2598,0.9168499844245168,0.9550328036877485,0.7955426356589147,0.12514827995255043
3,9104,202,1000,E0_SOURCE_RUT,1961fbf3c821cc587df939b653e680ca2858d8b9e64b0044b73425694758cea6,1000,2598,0.9260878548985786,0.9579567802959355,0.801363193768257,0.12099644128113879
3,9104,202,1000,E1_TARGET_RUT,1961fbf3c821cc587df939b653e680ca2858d8b9e64b0044b73425694758cea6,1000,2598,0.9273879218885953,0.9616390657842707,0.8351983723296033,0.09608540925266904
3,9104,202,2000,E0_SOURCE_RUT,04da94645634e864a78972e1754693c12c3bc1dffee9139fc7a1573051485b7a,2000,2598,0.9480726759008431,0.9712902697134296,0.8753993610223643,0.0693950177935943
3,9104,202,2000,E1_TARGET_RUT,04da94645634e864a78972e1754693c12c3bc1dffee9139fc7a1573051485b7a,2000,2598,0.9445509078987492,0.9709748496389252,0.8734042553191489,0.07058125741399762
4,9105,222,200,E0_SOURCE_RUT,bbc7fef7586f3ee0b0e79292e9347ad42e878a73626e8237071ee9182dfe2056,200,2598,0.8676993427720872,0.931838697425652,0.7452402538531279,0.16666666666666666
4,9105,222,200,E1_TARGET_RUT,bbc7fef7586f3ee0b0e79292e9347ad42e878a73626e8237071ee9182dfe2056,200,2598,0.8416624319505746,0.9125681567501198,0.6528991262907069,0.25919335705812574
4,9105,222,500,E0_SOURCE_RUT,32047453f92f87486bdadf37d96d0097c2af0afd4a5a22a2bc540a454f3fe4cb,500,2598,0.9125953930702196,0.9525139955463986,0.8035190615835777,0.11921708185053381
4,9105,222,500,E1_TARGET_RUT,32047453f92f87486bdadf37d96d0097c2af0afd4a5a22a2bc540a454f3fe4cb,500,2598,0.9005506617812769,0.9460384539343614,0.7836034318398475,0.134638196915777
4,9105,222,1000,E0_SOURCE_RUT,cacaa48a365f706d2b84a54d583e6d0ad9962de58e3ba0186ecf174a0ecdb4e8,1000,2598,0.9293267149372022,0.9597133774531228,0.8326572008113591,0.09786476868327403
4,9105,222,1000,E1_TARGET_RUT,cacaa48a365f706d2b84a54d583e6d0ad9962de58e3ba0186ecf174a0ecdb4e8,1000,2598,0.9278223291142049,0.9623856683523756,0.8534303534303534,0.08362989323843416
4,9105,222,2000,E0_SOURCE_RUT,89a433132e55f8a2b5385c79f7979441a16faa017f3e65be906a53e91233b0ff,2000,2598,0.9505580259381226,0.9725005723085888,0.8678646934460887,0.07413997627520759
4,9105,222,2000,E1_TARGET_RUT,89a433132e55f8a2b5385c79f7979441a16faa017f3e65be906a53e91233b0ff,2000,2598,0.9526774194286644,0.9753621152525442,0.8914223669923995,0.05931198102016608
5,9106,242,200,E0_SOURCE_RUT,5053673bbf43198f1c3247ffc227f9e797033e081d857ad0b1b9b7d3dd8e5ef7,200,2598,0.8606246753457341,0.9222245634846309,0.6768342951360263,0.232502965599051
5,9106,242,200,E1_TARGET_RUT,5053673bbf43198f1c3247ffc227f9e797033e081d857ad0b1b9b7d3dd8e5ef7,200,2598,0.8324931632979917,0.9105436151172713,0.6536624203821656,0.2580071174377224
5,9106,242,500,E0_SOURCE_RUT,ca55fd09bebbbb8807b4e60b26d9ba7a124e82d552e50df49daa870f739ebf57,500,2598,0.9086678204496663,0.952284421760213,0.7828571428571428,0.13523131672597866
5,9106,242,500,E1_TARGET_RUT,ca55fd09bebbbb8807b4e60b26d9ba7a124e82d552e50df49daa870f739ebf57,500,2598,0.8959100833741189,0.9518909596054193,0.7796771130104464,0.1376037959667853
5,9106,242,1000,E0_SOURCE_RUT,989c180e55267d7b108246005c1de9467ce996a22def1a7105cdc561c5323247,1000,2598,0.9425306066688115,0.969837386318703,0.8509316770186336,0.08540925266903915
5,9106,242,1000,E1_TARGET_RUT,989c180e55267d7b108246005c1de9467ce996a22def1a7105cdc561c5323247,1000,2598,0.941892134385015,0.9700604565981977,0.880085653104925,0.066429418742586
5,9106,242,2000,E0_SOURCE_RUT,d2ea9f234b2faddd57f204648d8c650723cb3cb9fe6a3f350e7742f5b500f076,2000,2598,0.9558109279406217,0.9763155293334165,0.8861439312567132,0.06287069988137604
5,9106,242,2000,E1_TARGET_RUT,d2ea9f234b2faddd57f204648d8c650723cb3cb9fe6a3f350e7742f5b500f076,2000,2598,0.9540421676297328,0.9750460448273709,0.8872180451127819,0.06227758007117438
6,9107,262,200,E0_SOURCE_RUT,4d30b7970cf7733f73f943df0f3fc71f1b7bf256f4842bde775054103906a4ff,200,2598,0.8729854608658028,0.9166029323010966,0.643921568627451,0.269276393831554
6,9107,262,200,E1_TARGET_RUT,4d30b7970cf7733f73f943df0f3fc71f1b7bf256f4842bde775054103906a4ff,200,2598,0.8486379947520157,0.9069445745145783,0.623199393479909,0.2947805456702254
6,9107,262,500,E0_SOURCE_RUT,c6443a5e5449796350cafac042e7f0448f147eacc769f46ed9abecf9555ac729,500,2598,0.9232934438188861,0.9532443393477764,0.7552897884084636,0.15776986951364175
6,9107,262,500,E1_TARGET_RUT,c6443a5e5449796350cafac042e7f0448f147eacc769f46ed9abecf9555ac729,500,2598,0.9120201767158748,0.949513927909929,0.7694470477975632,0.14590747330960854
6,9107,262,1000,E0_SOURCE_RUT,7027d22a7addd565bcbff6bf00db516f7fa175ab1ede25435fafa10520da98f3,1000,2598,0.9331039331861435,0.9633241243678592,0.8311425682507584,0.09905100830367734
6,9107,262,1000,E1_TARGET_RUT,7027d22a7addd565bcbff6bf00db516f7fa175ab1ede25435fafa10520da98f3,1000,2598,0.9281923488136676,0.9608105190318621,0.8152929493545183,0.1103202846975089
6,9107,262,2000,E0_SOURCE_RUT,07c50aca027d8371f65a012e20eaab0dd74ac2ecc10f1069e8c72d58bc269fbc,2000,2598,0.9541766346800764,0.9752541570414768,0.879957127545552,0.066429418742586
6,9107,262,2000,E1_TARGET_RUT,07c50aca027d8371f65a012e20eaab0dd74ac2ecc10f1069e8c72d58bc269fbc,2000,2598,0.9472102187820621,0.9721708445193649,0.8780748663101604,0.06761565836298933
7,9108,282,200,E0_SOURCE_RUT,2abd410c6354ec69ac63fcb1b92017a70ad0aa200d08604c99053e5091273c36,200,2598,0.8617294779878762,0.9123665480427046,0.6200906344410876,0.29833926453143533
7,9108,282,200,E1_TARGET_RUT,2abd410c6354ec69ac63fcb1b92017a70ad0aa200d08604c99053e5091273c36,200,2598,0.815386895953483,0.88042652598281,0.5642611683848797,0.3760379596678529
7,9108,282,500,E0_SOURCE_RUT,6282dbcd2590168f933a0f6f4c963f4b18a5820cda64e43ca98ca57750b0336f,500,2598,0.9145366256431999,0.94962643857568,0.761595547309833,0.15243179122182682
7,9108,282,500,E1_TARGET_RUT,6282dbcd2590168f933a0f6f4c963f4b18a5820cda64e43ca98ca57750b0336f,500,2598,0.8901547067170806,0.9335770847641047,0.6799007444168734,0.22953736654804271
7,9108,282,1000,E0_SOURCE_RUT,76b85203681cd59b31e8529310e6a86ba6cb477081d16f684b7834e4cec9c81e,1000,2598,0.9488160216993535,0.9702568625002602,0.870625662778367,0.07236061684460261
7,9108,282,1000,E1_TARGET_RUT,76b85203681cd59b31e8529310e6a86ba6cb477081d16f684b7834e4cec9c81e,1000,2598,0.943286166333887,0.9701476035878545,0.8586278586278586,0.08066429418742586
7,9108,282,2000,E0_SOURCE_RUT,1347791770d9753485ae7f7347b0158e11a4ada637709203d13eff313901ed59,2000,2598,0.9600290493356922,0.9782906443154148,0.9092920353982301,0.04863582443653618
7,9108,282,2000,E1_TARGET_RUT,1347791770d9753485ae7f7347b0158e11a4ada637709203d13eff313901ed59,2000,2598,0.9517508695926344,0.9753835768246238,0.8894907908992417,0.060498220640569395
8,9109,302,200,E0_SOURCE_RUT,9400bab87eb6f5c4e5e161e6b9e5d5d72d74d82ce88679291bf005d1a7569a43,200,2598,0.8843715115740475,0.9330483496701422,0.7164048865619547,0.19276393831553973
8,9109,302,200,E1_TARGET_RUT,9400bab87eb6f5c4e5e161e6b9e5d5d72d74d82ce88679291bf005d1a7569a43,200,2598,0.8469914483637102,0.9131729828723648,0.6626311541565779,0.2479240806642942
8,9109,302,500,E0_SOURCE_RUT,68631ed302e6ebbaef92c30de8abde010b3cdee0c140bf88025e9a0adecafa2f,500,2598,0.9293621904945046,0.9577798849139456,0.8170974155069582,0.10913404507710557
8,9109,302,500,E1_TARGET_RUT,68631ed302e6ebbaef92c30de8abde010b3cdee0c140bf88025e9a0adecafa2f,500,2598,0.9063251318297987,0.9499925860023725,0.7996108949416343,0.1221826809015421
8,9109,302,1000,E0_SOURCE_RUT,df9bf5bdbb54b5b10f96dd13d938ba0806d1768988a7c5390e6471ac1c42e63d,1000,2598,0.9489753361297042,0.970996961561674,0.8599791013584117,0.07947805456702253
