budget,variant,AP_mean,AP_sd,AUC_mean,P_at_R90_mean,FPR_at_TPR90_mean
200,E0_SOURCE_RUT,0.8651461740503226,0.011747527313588784,0.9185269947555723,0.670941615122938,0.24205219454329777
200,E1_TARGET_RUT,0.8423412395365816,0.011424376774950151,0.9069342339389399,0.6415467509248525,0.2738434163701068
500,E0_SOURCE_RUT,0.9175671370477747,0.005866615376593181,0.9527236035670434,0.7831499382057465,0.13534994068801898
500,E1_TARGET_RUT,0.9044212706527466,0.009189696454602833,0.9480766529312605,0.7743483356118623,0.1435349940688019
1000,E0_SOURCE_RUT,0.9404951456733238,0.008169226525394863,0.9666749261201639,0.8450056119713636,0.08967971530249111
1000,E1_TARGET_RUT,0.935546892066889,0.006059065511230922,0.9656732560196458,0.8512213459376341,0.08558718861209964
2000,E0_SOURCE_RUT,0.9560829866627287,0.0041960018069448655,0.9755867463736447,0.8913258954520279,0.05954922894424673
2000,E1_TARGET_RUT,0.950981073556121,0.0035080947559013877,0.9740459355684585,0.8871642029204556,0.062040332147093716
