run,stream,allowed_tpr_loss_pp,scenario,target_fpr,escalation_rate,full_path_avoided_rate,delta_tpr_vs_full_pp,delta_fpr_vs_full_pp,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,full_tpr,full_fpr
0,URL_BASE,0.25,OFFICIAL_TEST,0.005,0.544109246697608,0.45589075330239204,-0.005208333333328596,0.05478851632697793,0.9611328125,0.007210168748630287,0.9911645831375129,0.9759177116868178,73815,658,90602,2985,7.210168748630287,0.9611848958333333,0.006662283585360508
0,URL_BASE,0.25,DOMAIN_OOD_EXACT,0.005,0.5847718626258444,0.41522813737415565,0.006688873727445088,0.10688432201331183,0.962555684873781,0.013069037555264052,0.992578286660229,0.9773364755740589,71952,538,40628,2799,13.069037555264051,0.9624887961365065,0.012000194335130934
0,URL_BASE,0.25,TEMPLATE_OOD_EXACT,0.005,0.5433778058961811,0.4566221941038189,-0.0042302377393665935,0.05536791982725213,0.961758650836177,0.00715353524168097,0.9906175564979957,0.9759748157687629,68206,646,89659,2712,7.15353524168097,0.9618009532135706,0.006599856043408449
0,URL_BASE,0.25,DOMAIN_TEMPLATE_OOD_EXACT,0.005,0.5883010127617058,0.41169898723829423,0.008673653776647416,0.10752688172042998,0.9634550054210336,0.012854349951124144,0.9921694728536763,0.977601431630827,66647,526,40394,2528,12.854349951124144,0.9633682688832671,0.011779081133919844
0,URL_BASE,0.25,LATE_TEST_Q4,0.005,0.5633977428180574,0.43660225718194257,-0.021425319371171092,0.07411328745367922,0.9638983368595838,0.015457914240338804,0.9959598195755043,0.9796668299853013,35991,146,9299,1348,15.457914240338804,0.9641125900532955,0.014716781365802012
0,URL_BASE,0.5,OFFICIAL_TEST,0.005,0.4576698798048316,0.5423301201951685,-0.12630208333332948,0.04054350208196368,0.959921875,0.007067718606180145,0.9913267981766106,0.9753716088828912,73722,645,90615,3078,7.0677186061801445,0.9611848958333333,0.006662283585360508
0,URL_BASE,0.5,DOMAIN_OOD_EXACT,0.005,0.5265491688018151,0.4734508311981849,-0.10300865540260329,0.08259243064665002,0.9614587095824805,0.012826118641597434,0.9927069808558248,0.9768330060007203,71870,528,40638,2881,12.826118641597434,0.9624887961365065,0.012000194335130934
0,URL_BASE,0.5,TEMPLATE_OOD_EXACT,0.005,0.4539488782617865,0.5460511217382136,-0.13113736992018676,0.04207961906871156,0.9604895795143688,0.007020652234095565,0.9907781818181818,0.9753988028753903,68116,634,89671,2802,7.020652234095564,0.9618009532135706,0.006599856043408449
0,URL_BASE,0.5,DOMAIN_TEMPLATE_OOD_EXACT,0.005,0.5272264862164494,0.4727735137835506,-0.10552945428261573,0.08553274682306933,0.9623129743404409,0.012634408602150538,0.9922933591712008,0.9770732423308381,66568,517,40403,2607,12.634408602150538,0.9633682688832671,0.011779081133919844
0,URL_BASE,0.5,LATE_TEST_Q4,0.005,0.5296682626538988,0.47033173734610123,-0.12587375130560519,0.03176283748014819,0.9628538525402395,0.015034409740603494,0.9960658281154763,0.9791782985851049,35952,142,9303,1387,15.034409740603493,0.9641125900532955,0.014716781365802012
0,URL_BASE,1.0,OFFICIAL_TEST,0.005,0.3027014161608949,0.697298583839105,-1.0651041666666639,0.0065746219592374006,0.9505338541666667,0.006728029804952882,0.9916593085648305,0.9706611707608949,73001,614,90646,3799,6.728029804952882,0.9611848958333333,0.006662283585360508
0,URL_BASE,1.0,DOMAIN_OOD_EXACT,0.005,0.3811520311947342,0.6188479688052658,-0.8922957552407351,0.029150269639994023,0.9535658385840992,0.012291697031530874,0.992951271835734,0.9728600967673693,71280,506,40660,3471,12.291697031530875,0.9624887961365065,0.012000194335130934
0,URL_BASE,1.0,TEMPLATE_OOD_EXACT,0.005,0.29632868759420183,0.7036713124057982,-1.075890465044138,0.006644150379270242,0.9510420485631292,0.006666297547201151,0.991153303550435,0.9706834765338284,67446,602,89703,3472,6.666297547201151,0.9618009532135706,0.006599856043408449
