run,rep,parent_system,parent_label_budget,nominal_review_rate_dev,scenario,realized_review_rate,cascade_error_rate,reviewed_error_rate,error_enrichment_factor,error_capture_rate,cascade_escalation_rate,oracle_review_tpr_upper_bound,oracle_review_fpr_lower_bound
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.01,OFFICIAL_TEST,0.036516720218969415,0.02682970367725812,0.0337298354244745,1.2571825552089564,0.04590818363273453,0.2894799476377484,0.9515104166666667,0.0063335524873986415
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.01,DOMAIN_OOD_EXACT,0.050682816152937016,0.03480076261462944,0.0345531914893617,0.9928860431017204,0.050322260783341594,0.38116065805705807,0.9551042795414109,0.011538648399164358
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.01,TEMPLATE_OOD_EXACT,0.03423208847372893,0.025765554542466026,0.03551368001449538,1.3783394398115043,0.04718343765045739,0.27978638283619583,0.9521701119602922,0.006267648524444937
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.01,DOMAIN_TEMPLATE_OOD_EXACT,0.047967664289931426,0.03350742540533176,0.03635675061541375,1.085035635403626,0.05204662510165357,0.37326854080566785,0.9561402240693893,0.011314760508308895
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.01,LATE_TEST_Q4,0.0948187414500684,0.037042578659370724,0.03043282236248873,0.8215632783650737,0.07789959607616849,0.4375641244870041,0.9603899408125552,0.012599258867125464
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.02,OFFICIAL_TEST,0.056253718909913125,0.02682970367725812,0.044637190607150413,1.663722832875959,0.09359059658460855,0.2894799476377484,0.9538411458333333,0.005939075169844401
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.02,DOMAIN_OOD_EXACT,0.07634773156655193,0.03480076261462944,0.04610169491525424,1.3247323176726635,0.10114030738720872,0.38116065805705807,0.9573918743561959,0.010712724092697858
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.02,TEMPLATE_OOD_EXACT,0.05396872654646049,0.025765554542466026,0.04493736352143432,1.7440867980299002,0.09412614347616755,0.27978638283619583,0.9544121379621535,0.0058689995016887216
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.02,DOMAIN_TEMPLATE_OOD_EXACT,0.07392706299105319,0.03350742540533176,0.04644305197198673,1.3860525364206775,0.10246679316888045,0.37326854080566785,0.958337549692808,0.010483870967741936
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.02,LATE_TEST_Q4,0.1266031121751026,0.037042578659370724,0.03815633969272328,1.0300670491542792,0.13040969417195614,0.4375641244870041,0.9625324727496719,0.011434621492853361
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.05,OFFICIAL_TEST,0.10170772343210759,0.02682970367725812,0.05885450184285965,2.1936321977624735,0.22310933688179196,0.2894799476377484,0.96046875,0.005117247424939733
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.05,DOMAIN_OOD_EXACT,0.13304347075925016,0.03480076261462944,0.06134094151212553,1.7626321064107722,0.2345066931085771,0.38116065805705807,0.9637596821447205,0.009206626827964826
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.05,TEMPLATE_OOD_EXACT,0.09851572046172072,0.025765554542466026,0.05666435811874331,2.1992291307121214,0.21665864227250842,0.27978638283619583,0.9605318818917623,0.0050384807042799405
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.05,DOMAIN_TEMPLATE_OOD_EXACT,0.12991507334574687,0.03350742540533176,0.05893868419212753,1.7589738238363457,0.2285172133369477,0.37326854080566785,0.9641633538127936,0.00896871945259042
0,R0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.05,LATE_TEST_Q4,0.1876923734610123,0.037042578659370724,0.05306912652317504,1.432652057276527,0.26889786497403345,0.4375641244870041,0.9683708722783149,0.009105346744309158
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.01,OFFICIAL_TEST,0.014161608949184815,0.02682970367725812,0.07941176470588235,2.9598450158506515,0.041916167664670656,0.2894799476377484,0.9511588541666667,0.006234933158010081
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.01,DOMAIN_OOD_EXACT,0.018685783793576438,0.03480076261462944,0.08541089566020314,2.454282298523492,0.0458601883986118,0.38116065805705807,0.954743080360129,0.011320021376864402
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.01,TEMPLATE_OOD_EXACT,0.013850381149091632,0.025765554542466026,0.07926556202418271,3.0764159138721254,0.04260953298025999,0.27978638283619583,0.9517893905637497,0.006179059852721333
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.01,DOMAIN_TEMPLATE_OOD_EXACT,0.018702030064943913,0.03350742540533176,0.0840213695968917,2.5075447779262108,0.046896177825969096,0.37326854080566785,0.9557499096494398,0.011119257086999023
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.01,LATE_TEST_Q4,0.0280437756497948,0.037042578659370724,0.07088414634146341,1.9135856332596792,0.05366416618580496,0.4375641244870041,0.9593186748439969,0.012811011116993117
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.02,OFFICIAL_TEST,0.03592169463286921,0.02682970367725812,0.08182872287560046,3.0499301766408102,0.10955866045686405,0.2894799476377484,0.95453125,0.005730878807801884
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.02,DOMAIN_OOD_EXACT,0.04749087709309247,0.03480076261462944,0.0851952770208901,2.448086496388328,0.11626177491323748,0.38116065805705807,0.9579804952442108,0.010299761939464606
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.02,TEMPLATE_OOD_EXACT,0.03446158426527232,0.025765554542466026,0.08315334773218143,3.2273067360196164,0.111218103033221,0.27978638283619583,0.955159479962774,0.005669674990310614
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.02,DOMAIN_TEMPLATE_OOD_EXACT,0.0462237158817385,0.03350742540533176,0.08606798978188249,2.5686243792454193,0.1187313635131472,0.37326854080566785,0.9589736176364293,0.01009286412512219
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.02,LATE_TEST_Q4,0.062264876880984955,0.037042578659370724,0.07483693786474425,2.0202950381212896,0.1257934218118869,0.4375641244870041,0.96245212780203,0.011964002117522498
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.05,OFFICIAL_TEST,0.09123527311674402,0.02682970367725812,0.08041479162590491,2.9972299580061166,0.27345309381237526,0.2894799476377484,0.9628255208333333,0.004613193074731536
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.05,DOMAIN_OOD_EXACT,0.11931813280191861,0.03480076261462944,0.08300195213650495,2.3850613003984242,0.2845810609816559,0.38116065805705807,0.9658733662425921,0.008137783607831706
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.05,TEMPLATE_OOD_EXACT,0.0864578875222518,0.025765554542466026,0.0801348733768563,3.110155197505273,0.26889744824265766,0.27978638283619583,0.9629572181956626,0.0045401694258346715
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.05,DOMAIN_TEMPLATE_OOD_EXACT,0.11411962396112449,0.03350742540533176,0.08229863100923272,2.456131141491319,0.2802927622661968,0.37326854080566785,0.9663028550777015,0.007917888563049853
0,RUT,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.05,LATE_TEST_Q4,0.14184336525307797,0.037042578659370724,0.07248342374924653,1.9567596634072417,0.2775533756491633,0.4375641244870041,0.9691475401055197,0.010587612493382742
