run,system,label_budget,allowed_tpr_loss_pp,scenario,escalation_rate,full_path_avoided_rate,delta_tpr_vs_full_pp,delta_fpr_vs_full_pp,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,full_tpr,full_fpr
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,OFFICIAL_TEST,0.42186719028918246,0.5781328097108176,-0.26041666666666297,0.04273504273504276,0.9585807291666667,0.007089634012710936,0.9912880726038833,0.9746600823481127,73619,647,90613,3181,7.089634012710936,0.9611848958333333,0.006662283585360508
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,DOMAIN_OOD_EXACT,0.488565093989665,0.5114349060103349,-0.1565196452221307,0.08987999805664862,0.9609235996842852,0.01289899431569742,0.9926617929547684,0.9765348849855893,71830,531,40635,2921,12.89899431569742,0.9624887961365065,0.012000194335130934
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,TEMPLATE_OOD_EXACT,0.41464927460722106,0.585350725392779,-0.2735553738120067,0.043186977465256654,0.9590653994754506,0.007031725818061016,0.9907501820830299,0.9746503496503497,68015,635,89670,2903,7.031725818061015,0.9618009532135706,0.006599856043408449
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,DOMAIN_TEMPLATE_OOD_EXACT,0.4846450792497389,0.5153549207502611,-0.16046259486809378,0.09042033235581622,0.9617636429345862,0.012683284457478006,0.9922593923846739,0.976773549447968,66530,519,40401,2645,12.683284457478006,0.9633682688832671,0.011779081133919844
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,LATE_TEST_Q4,0.49831138850889195,0.5016886114911081,-0.09909210209164687,0.03176283748014819,0.9631216690323791,0.015034409740603494,0.9960669177930424,0.979317293683537,35962,142,9303,1377,15.034409740603493,0.9641125900532955,0.014716781365802012
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,OFFICIAL_TEST,0.35155896703558254,0.6484410329644175,-0.5091145833333366,0.028490028490028504,0.95609375,0.006947183870260793,0.9914396046555588,0.9734459307181398,73428,634,90626,3372,6.947183870260793,0.9611848958333333,0.006662283585360508
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,DOMAIN_OOD_EXACT,0.43634669634307305,0.5636533036569269,-0.3772524782277187,0.068017295826653,0.9587162713542293,0.012680367293397464,0.9927687810824664,0.9754454259619703,71665,522,40644,3086,12.680367293397463,0.9624887961365065,0.012000194335130934
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,TEMPLATE_OOD_EXACT,0.342444936516502,0.657555063483498,-0.5231394004343026,0.028791318310171076,0.9565695592092276,0.00688776922651016,0.9909144025708443,0.9734391367360702,67838,622,89683,3080,6.8877692265101595,0.9618009532135706,0.006599856043408449
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,DOMAIN_TEMPLATE_OOD_EXACT,0.43011035923520596,0.569889640764794,-0.37874954824720364,0.06842619745845539,0.9595807734007951,0.012463343108504398,0.9923754279477941,0.9757026105362182,66379,510,40410,2796,12.463343108504398,0.9633682688832671,0.011779081133919844
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,LATE_TEST_Q4,0.468514876880985,0.531485123119015,-0.2624601622967959,-0.010587612493382845,0.9614879884303276,0.014610905240868183,0.9961708149504703,0.97852217285835,35901,138,9307,1438,14.610905240868183,0.9641125900532955,0.014716781365802012
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,OFFICIAL_TEST,0.2894799476377484,0.7105200523622516,-1.2174479166666696,-0.016436554898093328,0.9490104166666666,0.006497918036379575,0.9919294473100426,0.9699954084790087,72884,593,90667,3916,6.497918036379575,0.9611848958333333,0.006662283585360508
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,DOMAIN_OOD_EXACT,0.38116065805705807,0.6188393419429419,-0.9912910864068647,-0.012145945683330987,0.9525758852724379,0.011878734878297624,0.9931794406862403,0.9724540103519387,71206,489,40677,3545,11.878734878297625,0.9624887961365065,0.012000194335130934
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,TEMPLATE_OOD_EXACT,0.27978638283619583,0.7202136171638042,-1.218308468935958,-0.016610375948175604,0.949617868524211,0.006433752283926693,0.9914465742131142,0.9700815303506092,67345,581,89724,3573,6.433752283926693,0.9618009532135706,0.006599856043408449
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,DOMAIN_TEMPLATE_OOD_EXACT,0.37326854080566785,0.6267314591943322,-0.9801228767618353,-0.012218963831867047,0.9535670401156487,0.011656891495601174,0.9928205900060205,0.9727979943221621,65963,477,40443,3212,11.656891495601174,0.9633682688832671,0.011779081133919844
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,LATE_TEST_Q4,0.4375641244870041,0.5624358755129959,-0.7257826936982847,-0.17998941238750663,0.9568547631163127,0.012916887241926946,0.9965969316596932,0.9763215783792646,35728,122,9323,1611,12.916887241926945,0.9641125900532955,0.014716781365802012
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,OFFICIAL_TEST,0.2894799476377484,0.7105200523622516,-1.2174479166666696,-0.016436554898093328,0.9490104166666666,0.006497918036379575,0.9919294473100426,0.9699954084790087,72884,593,90667,3916,6.497918036379575,0.9611848958333333,0.006662283585360508
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,DOMAIN_OOD_EXACT,0.38116065805705807,0.6188393419429419,-0.9912910864068647,-0.012145945683330987,0.9525758852724379,0.011878734878297624,0.9931794406862403,0.9724540103519387,71206,489,40677,3545,11.878734878297625,0.9624887961365065,0.012000194335130934
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,TEMPLATE_OOD_EXACT,0.27978638283619583,0.7202136171638042,-1.218308468935958,-0.016610375948175604,0.949617868524211,0.006433752283926693,0.9914465742131142,0.9700815303506092,67345,581,89724,3573,6.433752283926693,0.9618009532135706,0.006599856043408449
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,DOMAIN_TEMPLATE_OOD_EXACT,0.37326854080566785,0.6267314591943322,-0.9801228767618353,-0.012218963831867047,0.9535670401156487,0.011656891495601174,0.9928205900060205,0.9727979943221621,65963,477,40443,3212,11.656891495601174,0.9633682688832671,0.011779081133919844
0,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,LATE_TEST_Q4,0.4375641244870041,0.5624358755129959,-0.7257826936982847,-0.17998941238750663,0.9568547631163127,0.012916887241926946,0.9965969316596932,0.9763215783792646,35728,122,9323,1611,12.916887241926945,0.9641125900532955,0.014716781365802012
1,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,OFFICIAL_TEST,0.36980245150541474,0.6301975484945852,-0.13541666666666563,0.18080210387902695,0.9598307291666667,0.008470304624150778,0.9896224895285146,0.9744989688541061,73715,773,90487,3085,8.470304624150778,0.9611848958333333,0.006662283585360508
1,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,DOMAIN_OOD_EXACT,0.40302975404815516,0.5969702459518449,-0.08294203422027913,0.3716659379099254,0.9616593757943037,0.015716853714230188,0.9910797992610159,0.9761479600497002,71885,647,40519,2866,15.716853714230188,0.9624887961365065,0.012000194335130934
1,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,TEMPLATE_OOD_EXACT,0.363539941571612,0.6364600584283879,-0.1551087171099086,0.18049941863684188,0.9602498660424715,0.008404850229776868,0.9889773156350751,0.9744019001831502,68099,759,89546,2819,8.404850229776867,0.9618009532135706,0.006599856043408449
1,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,DOMAIN_TEMPLATE_OOD_EXACT,0.3988736999863754,0.6011263000136247,-0.09830140946873733,0.36901270772238504,0.9623852547885797,0.015469208211143694,0.9905811981073118,0.9762796870531819,66573,633,40287,2602,15.469208211143695,0.9633682688832671,0.011779081133919844
1,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,LATE_TEST_Q4,0.39908943228454175,0.6009105677154583,-0.05891962827071495,0.19057702488088946,0.9635233937705884,0.016622551614610907,0.9956550617147285,0.9793257387067358,35977,157,9288,1362,16.622551614610906,0.9641125900532955,0.014716781365802012
1,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,OFFICIAL_TEST,0.36980245150541474,0.6301975484945852,-0.13541666666666563,0.18080210387902695,0.9598307291666667,0.008470304624150778,0.9896224895285146,0.9744989688541061,73715,773,90487,3085,8.470304624150778,0.9611848958333333,0.006662283585360508
1,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,DOMAIN_OOD_EXACT,0.40302975404815516,0.5969702459518449,-0.08294203422027913,0.3716659379099254,0.9616593757943037,0.015716853714230188,0.9910797992610159,0.9761479600497002,71885,647,40519,2866,15.716853714230188,0.9624887961365065,0.012000194335130934
1,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,TEMPLATE_OOD_EXACT,0.363539941571612,0.6364600584283879,-0.1551087171099086,0.18049941863684188,0.9602498660424715,0.008404850229776868,0.9889773156350751,0.9744019001831502,68099,759,89546,2819,8.404850229776867,0.9618009532135706,0.006599856043408449
1,RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,DOMAIN_TEMPLATE_OOD_EXACT,0.3988736999863754,0.6011263000136247,-0.09830140946873733,0.36901270772238504,0.9623852547885797,0.015469208211143694,0.9905811981073118,0.9762796870531819,66573,633,40287,2602,15.469208211143695,0.9633682688832671,0.011779081133919844
