system,label_budget,allowed_tpr_loss_pp,scenario,n,escalation_mean,full_path_avoided_mean,tpr_mean,fpr_mean,delta_tpr_vs_full_pp_mean,delta_fpr_vs_full_pp_mean
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,DOMAIN_OOD_EXACT,5,0.4324680590422457,0.5675319409577543,0.9611108881486535,0.014545984550357091,-0.13779079878529776,0.25457902152261563
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,DOMAIN_TEMPLATE_OOD_EXACT,5,0.42787229211135835,0.5721277078886416,0.9618301409468739,0.014301075268817205,-0.153812793639323,0.25219941348973596
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,LATE_TEST_Q4,5,0.4331267099863201,0.5668732900136799,0.9633252095664051,0.015606140815246161,-0.0787380486890421,0.08893594494441502
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,OFFICIAL_TEST,5,0.3713971200761633,0.6286028799238367,0.9588854166666667,0.007874205566513259,-0.22994791666666403,0.12119219811527504
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.25,TEMPLATE_OOD_EXACT,5,0.3641539978787146,0.6358460021212855,0.9592684508869398,0.007806876695642545,-0.2532502326630759,0.12070206522340958
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,DOMAIN_OOD_EXACT,5,0.37644866585574166,0.6235513341442583,0.9597490334577463,0.015046397512510324,-0.2739762678760149,0.30462031773793896
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,DOMAIN_TEMPLATE_OOD_EXACT,5,0.37113220400563146,0.6288677959943685,0.9605059631369715,0.014804496578690127,-0.2862305746295646,0.30254154447702825
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,LATE_TEST_Q4,5,0.3919203146374829,0.6080796853625171,0.9621093226920914,0.01556379036527263,-0.20032673612041307,0.08470089994706191
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,OFFICIAL_TEST,5,0.31130429608473165,0.6886957039152684,0.9572916666666667,0.008088976550515012,-0.38932291666666563,0.14266929651545038
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,0.5,TEMPLATE_OOD_EXACT,5,0.30363657790761867,0.6963634220923813,0.9577060830818691,0.008023918941365374,-0.40948701317014,0.14240628979569242
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,DOMAIN_OOD_EXACT,5,0.30406756558572084,0.6959324344142791,0.953686238311193,0.01520186561725696,-0.880255782531334,0.3201671282126026
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,DOMAIN_TEMPLATE_OOD_EXACT,5,0.29766474408465415,0.7023352559153458,0.9546252258764005,0.014970674486803521,-0.8743043006866656,0.31915933528836754
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,LATE_TEST_Q4,5,0.3397913816689466,0.6602086183310533,0.9564744636974745,0.014505029115934357,-0.763812635582104,-0.021175224986765516
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,OFFICIAL_TEST,5,0.23596453647506843,0.7640354635249316,0.9502786458333332,0.00814814814814815,-1.0906250000000028,0.14858645627876402
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,1.0,TEMPLATE_OOD_EXACT,5,0.22800096760387784,0.7719990323961221,0.9508869398460194,0.008085931011571896,-1.0914013367551267,0.14860749681634466
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,DOMAIN_OOD_EXACT,5,0.29219182691063433,0.7078081730893656,0.9520086687803507,0.015002672108050332,-1.0480127356155733,0.30024777729193997
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,DOMAIN_TEMPLATE_OOD_EXACT,5,0.2854879876470321,0.7145120123529679,0.9529772316588362,0.014775171065493647,-1.0391037224430821,0.2996089931573802
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,LATE_TEST_Q4,5,0.3328573871409029,0.6671426128590972,0.9549961166608639,0.014166225516146108,-0.9116473392431557,-0.05505558496559031
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,OFFICIAL_TEST,5,0.22341544686421516,0.7765845531357848,0.9483463541666666,0.008038571115494192,-1.2838541666666692,0.1376287530133684
RUT_ACTIVE_B95__URL_DAPT__TRI,2000,2.0,TEMPLATE_OOD_EXACT,5,0.21533528094626697,0.784664719053733,0.9489974336557715,0.007977409888710481,-1.280351955779917,0.13775538453020325
