scenario,n,mean_delta_escalation_pp,ci95_lo_pp,ci95_hi_pp,dapt_lower_escalation_pairs,exact_signflip_p,mean_delta_tpr_pp,mean_delta_fpr_pp,holm_p_5scenarios
OFFICIAL_TEST,5,-12.2321789836963,-22.03825889001585,-2.4260990773767492,5,0.0625,-0.25364583333333135,-0.010519395134779754,0.3125
DOMAIN_OOD_EXACT,5,-13.257762019375935,-25.645482147532196,-0.8700418912196778,5,0.0625,-0.16240585410228547,-0.02380605353932856,0.3125
TEMPLATE_OOD_EXACT,5,-12.246019488534515,-21.838799681489075,-2.6532392955799553,5,0.0625,-0.23604726585634284,-0.011073583965450391,0.3125
DOMAIN_TEMPLATE_OOD_EXACT,5,-13.438030791589082,-25.653277024321277,-1.2227845588568846,5,0.0625,-0.14080231297434187,-0.024437927663734125,0.3125
LATE_TEST_Q4,5,-10.810106019151847,-23.163138512332715,1.542926474029023,5,0.0625,-0.031602346072470144,-0.11222869242985707,0.3125
