scenario,mean_delta_enrichment_RUT_minus_R0,ci95_lo,ci95_hi,rut_higher_pairs,exact_signflip_p,rut_mean_enrichment,r0_mean_enrichment,rut_realized_review_rate,holm_p_5scenarios
OFFICIAL_TEST,1.6294130293717708,1.1372004857195064,2.121625573024035,5,0.0625,3.238622816894817,1.6092097875230464,0.031616089491848146,0.3125
DOMAIN_OOD_EXACT,1.3066289827030508,0.8997962072027248,1.7134617582033769,5,0.0625,2.5918390185351354,1.2852100358320848,0.040918933374742276,0.3125
TEMPLATE_OOD_EXACT,1.6645544280004447,1.1858932631287162,2.1432155928721732,5,0.0625,3.3996024999493186,1.735048071948874,0.03098193185835768,0.3125
DOMAIN_TEMPLATE_OOD_EXACT,1.310930802731803,0.9185039124876777,1.7033576929759282,5,0.0625,2.694482659456586,1.3835518567247829,0.04064853081429674,0.3125
LATE_TEST_Q4,1.3658484354130696,0.7992682781959796,1.9324285926301594,5,0.0625,2.363257035822665,0.9974086004095956,0.05053864569083447,0.3125
