rep,nominal_review_rate_dev,scenario,n,realized_review_rate_mean,error_enrichment_mean,error_capture_mean,cascade_error_rate_mean,reviewed_error_rate_mean
R0,0.01,DOMAIN_OOD_EXACT,5,0.04980805231329313,1.0251725123963364,0.05103919611103571,0.03526488780765548,0.036147929396991255
R0,0.01,DOMAIN_TEMPLATE_OOD_EXACT,5,0.04770243880285208,1.1238986767589503,0.05355692714780678,0.03407420863799446,0.03825274579014524
R0,0.01,LATE_TEST_Q4,5,0.09343365253077976,0.824807896220829,0.07705816004430835,0.03766672366621067,0.031034485225526588
R0,0.01,OFFICIAL_TEST,5,0.03595263596334643,1.292967285150593,0.046462234092286094,0.02714625728906343,0.03510318313395806
R0,0.01,TEMPLATE_OOD_EXACT,5,0.03408570737425801,1.4193345920885228,0.048336240206429446,0.02613274780893545,0.03706069648741915
R0,0.02,DOMAIN_OOD_EXACT,5,0.07489496795120647,1.2852100358320846,0.09610277716342239,0.03526488780765548,0.045368779068308294
R0,0.02,DOMAIN_TEMPLATE_OOD_EXACT,5,0.07209591716245062,1.3835518567247829,0.09949530129171899,0.03407420863799446,0.047205383829072675
R0,0.02,LATE_TEST_Q4,5,0.12355933652530779,0.9974086004095956,0.12322818175257746,0.03766672366621067,0.03755436842936804
R0,0.02,OFFICIAL_TEST,5,0.0550077353326193,1.6092097875230464,0.0884137004714681,0.02714625728906343,0.04373966199672237
R0,0.02,TEMPLATE_OOD_EXACT,5,0.052471421571363884,1.735048071948874,0.09085294017797037,0.02613274780893545,0.04540944423596061
R0,0.05,DOMAIN_OOD_EXACT,5,0.13769852566922886,1.7100386190760184,0.2352575425081575,0.03526488780765548,0.0602378878801576
R0,0.05,DOMAIN_TEMPLATE_OOD_EXACT,5,0.13460920114446615,1.7515450230931144,0.2355939067632727,0.03407420863799446,0.0596937791350612
R0,0.05,LATE_TEST_Q4,5,0.19029582763337893,1.385427486235931,0.26331886579809766,0.03766672366621067,0.05203761810764106
R0,0.05,OFFICIAL_TEST,5,0.10510055932405094,2.1237642131194696,0.223039133712076,0.02714625728906343,0.05760088447143589
R0,0.05,TEMPLATE_OOD_EXACT,5,0.10187256160721485,2.185176145938105,0.22247302818780942,0.02613274780893545,0.057121929982569354
RUT,0.01,DOMAIN_OOD_EXACT,5,0.01935177756498184,2.710194736237126,0.05229326025515822,0.03526488780765548,0.09564167331480414
RUT,0.01,DOMAIN_TEMPLATE_OOD_EXACT,5,0.01945410781597711,2.7776540995738523,0.05396410749733085,0.03407420863799446,0.09471725413536924
RUT,0.01,LATE_TEST_Q4,5,0.02603454172366621,2.244806295194217,0.057907135649470275,0.03766672366621067,0.08464845850006295
RUT,0.01,OFFICIAL_TEST,5,0.015022015946685707,3.3622729936631153,0.05047176025987721,0.02714625728906343,0.09142463728788472
RUT,0.01,TEMPLATE_OOD_EXACT,5,0.014829149687079388,3.498445588560731,0.05191400137628097,0.02613274780893545,0.09158484773906728
RUT,0.02,DOMAIN_OOD_EXACT,5,0.04091893337474227,2.5918390185351354,0.10552261848541156,0.03526488780765548,0.09168769274068807
RUT,0.02,DOMAIN_TEMPLATE_OOD_EXACT,5,0.04064853081429674,2.694482659456586,0.10919332097404659,0.03407420863799446,0.0921213360671996
RUT,0.02,LATE_TEST_Q4,5,0.05053864569083447,2.363257035822665,0.11732596167695135,0.03766672366621067,0.08922366634290924
RUT,0.02,OFFICIAL_TEST,5,0.031616089491848146,3.238622816894817,0.10203060528655991,0.02714625728906343,0.08819866586355947
RUT,0.02,TEMPLATE_OOD_EXACT,5,0.03098193185835768,3.3996024999493186,0.10513790412340909,0.02613274780893545,0.08914056187334443
RUT,0.05,DOMAIN_OOD_EXACT,5,0.11249255933124562,2.2869319605845484,0.2572251074097803,0.03526488780765548,0.08066098160853159
RUT,0.05,DOMAIN_TEMPLATE_OOD_EXACT,5,0.1105517961760298,2.343906404001868,0.25913311228693664,0.03407420863799446,0.07994811654100924
RUT,0.05,LATE_TEST_Q4,5,0.12772742818057456,2.0691404153592696,0.2634748493568476,0.03766672366621067,0.07805985564029978
RUT,0.05,OFFICIAL_TEST,5,0.08692371771986195,2.858096525030883,0.24840706053155817,0.02714625728906343,0.0776166903185984
RUT,0.05,TEMPLATE_OOD_EXACT,5,0.08441971678978806,2.95533105814832,0.24948804993814563,0.02613274780893545,0.07732496672438591
