scenario,URL_DAPT_minus_URL_BASE_escalation_pp,URL_DAPT_minus_URL_BASE_tpr_pp,URL_DAPT_minus_URL_BASE_fpr_pp,RUT_review_error_enrichment_x,R0_review_error_enrichment_x,RUT_review_realized_rate,RUT_ACTIVE_B95_labels,R0_ACTIVE_B95_labels
OFFICIAL_TEST,-12.2321789836963,-0.25364583333333135,-0.010519395134779754,3.238622816894817,1.6092097875230464,0.031616089491848146,2000,
DOMAIN_OOD_EXACT,-13.257762019375935,-0.16240585410228547,-0.02380605353932856,2.5918390185351354,1.2852100358320848,0.040918933374742276,2000,
TEMPLATE_OOD_EXACT,-12.246019488534515,-0.23604726585634284,-0.011073583965450391,3.3996024999493186,1.735048071948874,0.03098193185835768,2000,
DOMAIN_TEMPLATE_OOD_EXACT,-13.438030791589082,-0.14080231297434187,-0.024437927663734125,2.694482659456586,1.3835518567247829,0.04064853081429674,2000,
LATE_TEST_Q4,-10.810106019151847,-0.031602346072470144,-0.11222869242985707,2.363257035822665,0.9974086004095956,0.05053864569083447,2000,
