allowed_tpr_loss_pp,stream,escalation_rate,full_path_avoided_rate,delta_tpr_vs_full_pp,delta_fpr_vs_full_pp,tpr,fpr
0.25,URL_BASE,0.48219207425919314,0.5178079257408068,-0.07499999999999832,0.05522682445759368,0.9604348958333333,0.0072145518299364
0.25,URL_DAPT,0.284982744258003,0.7150172557419969,-0.420052083333331,0.03988603988603988,0.956984375,0.00706114398422084
0.5,URL_BASE,0.400623586814233,0.5993764131857671,-0.3447916666666661,0.04142011834319528,0.9577369791666666,0.007076484768792421
0.5,URL_DAPT,0.2729203855765797,0.7270796144234202,-0.4947916666666652,0.034407188253342116,0.9562369791666667,0.00700635546789386
1.0,URL_BASE,0.35746043079852435,0.6425395692014757,-0.6864583333333331,0.02651764190225734,0.9543203124999999,0.006927460004383041
1.0,URL_DAPT,0.2351386409615613,0.7648613590384385,-0.9401041666666643,0.01599824676747758,0.9517838541666667,0.00682226605303522
2.0,URL_BASE,0.2839735808639771,0.7160264191360228,-1.2539062499999987,0.013587552049090543,0.9486458333333333,0.0067981591058513605
2.0,URL_DAPT,0.21810543853385692,0.781894561466143,-1.294791666666666,-0.004602235371466079,0.9482369791666667,0.0066162612316458
