contrast,n,mean_delta_pp,ci95_lo_pp,ci95_hi_pp,p_exact,positive,negative
RUT-R0,10,2.5350730517707865,2.161151825447728,2.9089942780938447,0.001953125,10,0
E1_TARGET_RUT-RUT,10,-1.1387772360547033,-1.49928214660065,-0.7782723255087565,0.001953125,0,10
