metric,checks,different_at_1e8,max_abs_error,max_abs_error_pp
AP,120,58,5.491126339862706e-05,0.0054911263398627055
AUC,120,49,1.6909117396157747e-05,0.0016909117396157747
FPR_at_TPR90,120,2,0.0005931198102017,0.059311981020170004
P_at_R90,120,4,0.0008633730056796,0.08633730056796
