budget,baseline_mean,adapted_mean,n,mean_delta,ci95_lo,ci95_hi,positive_pairs,negative_pairs,p_raw,p_holm
200,0.8391172987745161,0.8651461740503226,10,0.026028875275806364,0.01700321888168972,0.035054531669923006,10,0,0.001953125,0.0078125
500,0.889623584788709,0.9175671370477747,10,0.027943552259065696,0.02224586980762055,0.033641234710510844,10,0,0.001953125,0.0078125
1000,0.9169648427469737,0.9404951456733238,10,0.023530302926350232,0.02020776818306952,0.026852837669630945,10,0,0.001953125,0.0078125
2000,0.9340084404544653,0.9560829866627287,10,0.02207454620826348,0.018515684229096625,0.025633408187430335,10,0,0.001953125,0.0078125
