budget,variant,AP,AUC,P_at_R90,FPR_at_TPR90
200,R0,0.8391172987745161,0.9042541388316581,0.6377907548708969,0.2787069988137604
200,RUT,0.8651461740503226,0.9185269947555723,0.670941615122938,0.2420521945432977
500,R0,0.889623584788709,0.9381372786206322,0.7446285794692259,0.16785290628706995
500,RUT,0.9175671370477747,0.9527236035670434,0.7831499382057465,0.13534994068801895
1000,R0,0.9169648427469737,0.9546058484734969,0.8061516043174276,0.11767497034400946
1000,RUT,0.9404951456733238,0.9666749261201641,0.8450056119713636,0.08967971530249105
2000,R0,0.9340084404544653,0.964230583130424,0.847080589888375,0.08807829181494657
2000,RUT,0.9560829866627287,0.9755867463736447,0.8913258954520279,0.05954922894424669
