rep,budget,scenario,metric,n,mean_pct,ci95_lo_pct,ci95_hi_pct
R0,20000,DOMAIN_OOD_EXACT,tpr,10,72.56317641235569,71.88121452752861,73.24513829718276
R0,20000,DOMAIN_OOD_EXACT,fpr,10,1.091191760190444,1.0452827437306846,1.1371007766502033
R0,20000,DOMAIN_TEMPLATE_OOD_EXACT,tpr,10,72.25659559089267,71.4970956264818,73.01609555530354
R0,20000,DOMAIN_TEMPLATE_OOD_EXACT,fpr,10,1.073069403714562,1.0280788008691992,1.1180600065599249
R0,20000,LATE_TEST_Q4,tpr,10,68.55673692385977,67.45114983001234,69.6623240177072
R0,20000,LATE_TEST_Q4,fpr,10,0.73901535203811,0.6767841141759476,0.8012465899002724
R0,20000,OFFICIAL_TEST,tpr,10,71.42773437499999,70.74892743332128,72.10654131667869
R0,20000,OFFICIAL_TEST,fpr,10,0.5672802980495261,0.5453723447571274,0.5891882513419249
R0,20000,TEMPLATE_OOD_EXACT,tpr,10,71.12510223074537,70.37114012318808,71.87906433830267
R0,20000,TEMPLATE_OOD_EXACT,fpr,10,0.561652178727641,0.5399458706302726,0.5833584868250095
R0,200000,DOMAIN_OOD_EXACT,tpr,10,78.9541277039772,78.9541277039772,78.9541277039772
R0,200000,DOMAIN_OOD_EXACT,fpr,10,1.15872321818976,1.15872321818976,1.15872321818976
R0,200000,DOMAIN_TEMPLATE_OOD_EXACT,tpr,10,79.08782074448861,79.08782074448861,79.08782074448861
R0,200000,DOMAIN_TEMPLATE_OOD_EXACT,fpr,10,1.14613880742913,1.14613880742913,1.14613880742913
R0,200000,LATE_TEST_Q4,tpr,10,75.43587134095716,75.43587134095715,75.43587134095718
R0,200000,LATE_TEST_Q4,fpr,10,0.89994706193753,0.89994706193753,0.89994706193753
R0,200000,OFFICIAL_TEST,tpr,10,77.92447916666667,77.92447916666667,77.92447916666667
R0,200000,OFFICIAL_TEST,fpr,10,0.6158229235152299,0.6158229235152299,0.6158229235152299
R0,200000,TEMPLATE_OOD_EXACT,tpr,10,78.0168645477876,78.01686454778759,78.0168645477876
R0,200000,TEMPLATE_OOD_EXACT,fpr,10,0.61347655168595,0.61347655168595,0.61347655168595
RUT,10000,DOMAIN_OOD_EXACT,tpr,10,74.26174900670225,73.56494735218935,74.95855066121516
RUT,10000,DOMAIN_OOD_EXACT,fpr,10,0.930622358256808,0.8833973087105697,0.9778474078030462
RUT,10000,DOMAIN_TEMPLATE_OOD_EXACT,tpr,10,74.00896277556922,73.26299352352981,74.7549320276086
RUT,10000,DOMAIN_TEMPLATE_OOD_EXACT,fpr,10,0.919110459433037,0.8727372440600986,0.9654836748059755
RUT,10000,LATE_TEST_Q4,tpr,10,70.1826508476392,68.89652886396249,71.4687728313159
RUT,10000,LATE_TEST_Q4,fpr,10,0.633139227104284,0.5863413519220257,0.6799371022865425
RUT,10000,OFFICIAL_TEST,tpr,10,73.54205729166668,72.8497770620299,74.23433752130344
