system,training_labels,threshold,tp,fp,tn,fn,tpr,fpr
URL,200000,2.2929687500000004,71544,622,90638,5256,0.9315625,0.006815691431076047
FULL,200000,1.4550781250000002,73819,608,90652,2981,0.9611848958333333,0.006662283585360508
CASCADE,200000,1.1298828125000002,73551,621,90639,3249,0.9576953125,0.006804733727810651
