scenario,R0_tpr,RUT_tpr,delta_fpr,n,mean_delta,ci95_lo,ci95_hi,positive_pairs,negative_pairs,p_raw,p_holm_secondary
DOMAIN_OOD_EXACT,0.7256317641235569,0.7820724806357107,-0.0014065005101297006,10,0.056440716512153696,0.04947913757790448,0.06340229544640291,10,0,0.001953125,0.0078125
DOMAIN_TEMPLATE_OOD_EXACT,0.7225659559089267,0.7814354897000362,-0.00134897360703814,10,0.058869533791109506,0.05128626479020776,0.06645280279201125,10,0,0.001953125,0.0078125
LATE_TEST_Q4,0.6855673692385977,0.740619727362811,-0.0005823186871360299,10,0.05505235812421331,0.04337602702595596,0.06672868922247066,10,0,0.001953125,0.0078125
OFFICIAL_TEST,0.7142773437499998,0.7751145833333334,-0.00047337278106512995,10,0.06083723958333335,0.05380999309596069,0.06786448607070601,10,0,0.001953125,
TEMPLATE_OOD_EXACT,0.7112510223074537,0.7738105981556164,-0.00045955373456620997,10,0.06255957584816266,0.05494942680952364,0.07016972488680168,10,0,0.001953125,0.0078125
