probe,rep,budget,n,tpr,tpr_sd,fpr,AP
LINEAR,R0,2000,5,0.5164114583333334,0.03905020705008234,0.0049945211483672395,0.9627456830589403
LINEAR,R0,5000,5,0.6210312499999999,0.016598129240583383,0.00547446855139158,0.9745904361691918
LINEAR,R0,10000,5,0.6799921875,0.01892360449119084,0.0055665132588209,0.9801365259277498
LINEAR,R0,20000,5,0.7162708333333333,0.009623283816717704,0.005662941047556399,0.9835520573475577
LINEAR,R0,50000,5,0.7512421875,0.011086188615412105,0.0059982467674774605,0.9860224440828989
LINEAR,R0,100000,5,0.7698880208333334,0.005519701571790225,0.006022353714661361,0.9872581008669055
LINEAR,R0,200000,5,0.7792447916666667,0.0,0.0061582292351523,0.9878596953278096
LINEAR,RT,2000,5,0.5291458333333333,0.030663956895607282,0.00470304624150774,0.9675539023364547
LINEAR,RT,5000,5,0.6506848958333333,0.014464925738001715,0.0052838045145737,0.9782046784010994
LINEAR,RT,10000,5,0.7128072916666667,0.018625244139024878,0.00529695375849216,0.9835012257568951
LINEAR,RT,20000,5,0.7590364583333333,0.007540254295551323,0.00558623712469862,0.9865805704864344
LINEAR,RT,50000,5,0.7932239583333334,0.010392454771795262,0.00598509752355902,0.9884978579415415
LINEAR,RT,100000,5,0.8103828125,0.0029141893310945994,0.00598071444225286,0.9894508043089543
LINEAR,RT,200000,5,0.8226302083333333,0.0,0.0061911023449484,0.9899650548141675
LINEAR,RU,2000,5,0.5861614583333333,0.0318581974730113,0.00497479728248952,0.9704393653125969
LINEAR,RU,5000,5,0.6521328125,0.0291449553562178,0.0051303966688581604,0.9801688971753404
LINEAR,RU,10000,5,0.7109791666666666,0.010437099101374395,0.0052005259697566805,0.9850784348882616
LINEAR,RU,20000,5,0.7519505208333334,0.011685113038663592,0.00513258820951124,0.9870625710478699
LINEAR,RU,50000,5,0.7896953124999999,0.005526961086822628,0.0052947622178391,0.9892060663169643
LINEAR,RU,100000,5,0.8135546874999999,0.005712422263861454,0.0051282051282050805,0.9903971302648567
LINEAR,RU,200000,5,0.8340234375,0.0,0.0051720359412667,0.991281454737422
LINEAR,RUT,2000,5,0.6093880208333333,0.03647816843249771,0.004858645627876359,0.9739143909734768
LINEAR,RUT,5000,5,0.6796145833333334,0.03409297855761997,0.00527722989261448,0.9824510582920036
LINEAR,RUT,10000,5,0.7351354166666667,0.013049404201166643,0.00503396888012266,0.9871340759889626
LINEAR,RUT,20000,5,0.7773020833333334,0.01413916337788327,0.0051128643436335,0.9893521947972654
LINEAR,RUT,50000,5,0.8201458333333334,0.010968919560111182,0.00541529695375844,0.9910016509806097
LINEAR,RUT,100000,5,0.8404427083333333,0.007604880103518318,0.0053364014902475805,0.9918250418703576
LINEAR,RUT,200000,5,0.8571744791666667,0.0,0.0054788516326977,0.9923337637676248
MLP,R0,2000,5,0.42310937499999995,0.014814342328766961,0.004913434144203301,0.9466105198666485
MLP,R0,5000,5,0.5368151041666667,0.02713555037355093,0.00528599605522678,0.967637997451531
MLP,R0,10000,5,0.609375,0.0190725298067447,0.00549857549857544,0.9755710905457248
MLP,R0,20000,5,0.6827421874999999,0.016038544850626685,0.0056147271531886605,0.9815378095124027
MLP,R0,50000,5,0.788484375,0.01844548594484665,0.00544597852290156,0.9883300641498713
MLP,R0,100000,5,0.8240338541666666,0.027073308253248073,0.00525750602673676,0.9907938996308105
MLP,R0,200000,5,0.8495208333333334,0.0064385841880471644,0.00561691869384174,0.9917363627070376
MLP,RT,2000,5,0.43337239583333337,0.020681153992937656,0.00414201183431948,0.9515357287407525
MLP,RT,5000,5,0.5543515625,0.021619885927131283,0.00499671268902032,0.9716831704157967
MLP,RT,10000,5,0.6363749999999999,0.010096724768314365,0.0052421652421652,0.9793482586452387
MLP,RT,20000,5,0.7223723958333333,0.015097445410972105,0.00529037913653294,0.9854669478151127
MLP,RT,50000,5,0.8206145833333334,0.01965007129210833,0.00536050843743148,0.9904584848518354
MLP,RT,100000,5,0.8632994791666666,0.021669781974427593,0.00566513258820946,0.9926674322851428
MLP,RT,200000,5,0.8787604166666666,0.011276693441276707,0.00596537365768132,0.9934875609786141
MLP,RU,2000,5,0.5029739583333332,0.03587171004713502,0.00486522024983558,0.9633679277609453
MLP,RU,5000,5,0.60490625,0.026829785540910055,0.00540653079114612,0.9768238182994269
MLP,RU,10000,5,0.6722708333333334,0.02262039113273313,0.00537146614069684,0.982691035449092
MLP,RU,20000,5,0.7467213541666666,0.014081389825409518,0.00541091387245226,0.986263181950936
MLP,RU,50000,5,0.8362682291666668,0.010088842142961197,0.00577032653955728,0.9910050375925901
MLP,RU,100000,5,0.8708880208333334,0.011329432246172609,0.0059259259259258805,0.9925951151665096
MLP,RU,200000,5,0.8835104166666667,0.014083957756089102,0.0064847687924610405,0.992350260310349
MLP,RUT,2000,5,0.5308463541666667,0.03233888910022669,0.0045759368836291395,0.9671499861007348
MLP,RUT,5000,5,0.6332239583333333,0.028895000626369915,0.00533859303090066,0.9792444664663412
MLP,RUT,10000,5,0.6981067708333334,0.027602412483570943,0.0051260135875520006,0.9848471072566289
MLP,RUT,20000,5,0.7685651041666667,0.01970050878497095,0.00528818759587986,0.9888999132221763
MLP,RUT,50000,5,0.8531276041666667,0.009228163229052221,0.00554240631163702,0.9924851842939415
MLP,RUT,100000,5,0.8988619791666667,0.00878039985906751,0.0060924830155599,0.9941918650344089
MLP,RUT,200000,5,0.9025130208333334,0.012949963384091353,0.006741179048871321,0.9941857837852683
