reference,margin,budget,scenario,mean_delta,delta_fpr,p_ni
XGB_200K,0.0,100000,LATE_TEST_Q4,0.08845978735370519,-0.0036739015352038,8.861609610944499e-11
R0_200K,0.0,100000,OFFICIAL_TEST,0.06357812499999993,-0.00074402805172041,0.0009765625
XGB_200K,0.0,100000,OFFICIAL_TEST,0.0732617187500001,-0.0007703265395573198,2.939398263343181e-12
R0_200K,0.0,100000,TEMPLATE_OOD_EXACT,0.06450830536676157,-0.000774043519185,0.0009765625
XGB_200K,0.0,100000,TEMPLATE_OOD_EXACT,0.07713556501875396,-0.0006799180554786502,3.2921568824321837e-13
R0_200K,0.0,200000,DOMAIN_OOD_EXACT,0.07399232117296084,-0.0016275567215663003,0.0009765625
XGB_200K,0.0,200000,DOMAIN_OOD_EXACT,0.09372851199315058,-0.00223242481659623,7.385935548605255e-15
R0_200K,0.0,200000,DOMAIN_TEMPLATE_OOD_EXACT,0.07535959522949043,-0.0016373411534702006,0.0009765625
XGB_200K,0.0,200000,DOMAIN_TEMPLATE_OOD_EXACT,0.09875243946512446,-0.002040566959921771,1.0799161738081154e-14
R0_200K,0.0,200000,LATE_TEST_Q4,0.09170036690859429,-0.0015881418740074007,0.0009765625
XGB_200K,0.0,200000,LATE_TEST_Q4,0.10632850370925839,-0.0038538909475912906,1.5283046127100447e-13
R0_200K,0.0,200000,OFFICIAL_TEST,0.07792968749999996,-0.0006793776024546002,0.0009765625
XGB_200K,0.0,200000,OFFICIAL_TEST,0.08761328125000012,-0.0007056760902915101,9.413923942679672e-15
R0_200K,0.0,200000,TEMPLATE_OOD_EXACT,0.07927465523562416,-0.0007087093737888003,0.0009765625
XGB_200K,0.0,200000,TEMPLATE_OOD_EXACT,0.09190191488761656,-0.0006145839100824505,1.6259189039161027e-14
R0_200K,0.005,2000,DOMAIN_OOD_EXACT,-0.173924094660941,-0.002334450760336171,1.0
XGB_200K,0.005,2000,DOMAIN_OOD_EXACT,-0.1541879038407512,-0.0029393188553661007,0.9999999084054918
R0_200K,0.005,2000,DOMAIN_TEMPLATE_OOD_EXACT,-0.18070112034694613,-0.00229960899315744,1.0
XGB_200K,0.005,2000,DOMAIN_TEMPLATE_OOD_EXACT,-0.15730827611131204,-0.0027028347996090104,0.9999998501717918
R0_200K,0.005,2000,LATE_TEST_Q4,-0.16727282466054255,-0.00320804658549499,1.0
XGB_200K,0.005,2000,LATE_TEST_Q4,-0.15264468785987828,-0.00547379565907888,0.9999996693350083
R0_200K,0.005,2000,OFFICIAL_TEST,-0.17144401041666674,-0.0012042515888670098,1.0
XGB_200K,0.005,2000,OFFICIAL_TEST,-0.16176041666666663,-0.0012305500767039197,0.9999999531462778
R0_200K,0.005,2000,TEMPLATE_OOD_EXACT,-0.17832849206125387,-0.0012258457449753797,1.0
XGB_200K,0.005,2000,TEMPLATE_OOD_EXACT,-0.16570123240926138,-0.0011317202812690299,0.9999999250512681
R0_200K,0.005,5000,DOMAIN_OOD_EXACT,-0.09693783360757718,-0.0018243210416362694,1.0
XGB_200K,0.005,5000,DOMAIN_OOD_EXACT,-0.07720164278738739,-0.002429189136666199,0.9999797131588074
R0_200K,0.005,5000,DOMAIN_TEMPLATE_OOD_EXACT,-0.1037441272135887,-0.0017937438905181406,1.0
XGB_200K,0.005,5000,DOMAIN_TEMPLATE_OOD_EXACT,-0.08035128297795469,-0.002196969696969711,0.9999725791456507
R0_200K,0.005,5000,LATE_TEST_Q4,-0.09742628351053854,-0.0021916357861302494,1.0
XGB_200K,0.005,5000,LATE_TEST_Q4,-0.0827981467098744,-0.004457384859714139,0.9999985051953761
R0_200K,0.005,5000,OFFICIAL_TEST,-0.0941393229166667,-0.0008568923953539602,1.0
XGB_200K,0.005,5000,OFFICIAL_TEST,-0.08445572916666666,-0.0008831908831908701,0.9999907949658953
R0_200K,0.005,5000,TEMPLATE_OOD_EXACT,-0.10118869680476048,-0.0008692763412878595,1.0
XGB_200K,0.005,5000,TEMPLATE_OOD_EXACT,-0.0885614371527681,-0.0007751508775815097,0.9999885733889521
R0_200K,0.005,10000,DOMAIN_OOD_EXACT,-0.046923786972749536,-0.002281008599329521,1.0
XGB_200K,0.005,10000,DOMAIN_OOD_EXACT,-0.027187596152559723,-0.002885876694359451,0.9999860578307269
