reference,margin,budget,scenario,mean_delta,delta_fpr,p_ni
XGB_200K,0.02,10000,TEMPLATE_OOD_EXACT,-0.03532953551989626,-0.00103870217595926,0.9994932760771567
R0_200K,0.02,20000,DOMAIN_OOD_EXACT,-0.007468796404061495,-0.0020818150901228613,0.001953125
XGB_200K,0.02,20000,DOMAIN_OOD_EXACT,0.012267394416128452,-0.002686683185152791,7.738573264035959e-07
R0_200K,0.02,20000,DOMAIN_TEMPLATE_OOD_EXACT,-0.009442717744849994,-0.002079667644183821,0.00390625
XGB_200K,0.02,20000,DOMAIN_TEMPLATE_OOD_EXACT,0.013950126490784198,-0.0024828934506353918,1.705334395410861e-07
R0_200K,0.02,20000,LATE_TEST_Q4,-0.013738986046760715,-0.0021916357861302294,0.1484375
XGB_200K,0.02,20000,LATE_TEST_Q4,0.0008891507539033894,-0.004457384859714119,0.002115911277809906
R0_200K,0.02,20000,OFFICIAL_TEST,-0.004130208333333374,-0.0009587990357221698,0.0009765625
XGB_200K,0.02,20000,OFFICIAL_TEST,0.005553385416666834,-0.0009850975235590797,6.1122574859880035e-06
R0_200K,0.02,20000,TEMPLATE_OOD_EXACT,-0.006358047322259553,-0.0009777974641492996,0.0009765625
XGB_200K,0.02,20000,TEMPLATE_OOD_EXACT,0.006269212329732876,-0.0008836720004429498,1.9110340722053097e-06
R0_200K,0.02,50000,DOMAIN_OOD_EXACT,0.03237548661556365,-0.001797599961132941,0.0009765625
XGB_200K,0.02,50000,DOMAIN_OOD_EXACT,0.05211167743575362,-0.002402468056162871,1.9600205387006055e-09
R0_200K,0.02,50000,DOMAIN_TEMPLATE_OOD_EXACT,0.03244958438742322,-0.0018035190615836097,0.0009765625
XGB_200K,0.02,50000,DOMAIN_TEMPLATE_OOD_EXACT,0.05584242862305733,-0.0022067448680351803,2.2893348951967217e-09
R0_200K,0.02,50000,LATE_TEST_Q4,0.03600524920324598,-0.00171519322392801,0.0009765625
XGB_200K,0.02,50000,LATE_TEST_Q4,0.0506333860039101,-0.0039809422975119,6.332664446639586e-07
R0_200K,0.02,50000,OFFICIAL_TEST,0.03624999999999996,-0.0007900504054350593,0.0009765625
XGB_200K,0.02,50000,OFFICIAL_TEST,0.04593359375000006,-0.0008163488932719691,4.800117528029684e-09
R0_200K,0.02,50000,TEMPLATE_OOD_EXACT,0.036140331086607025,-0.000807264271081359,0.0009765625
XGB_200K,0.02,50000,TEMPLATE_OOD_EXACT,0.0487675907385996,-0.0007131388073750092,5.850708296234254e-09
R0_200K,0.02,100000,DOMAIN_OOD_EXACT,0.059667429198271574,-0.0017392994218529498,0.0009765625
XGB_200K,0.02,100000,DOMAIN_OOD_EXACT,0.07940362001846146,-0.0023441675168828797,6.575934212320972e-14
R0_200K,0.02,100000,DOMAIN_TEMPLATE_OOD_EXACT,0.06068955547524398,-0.0017644183773216499,0.0009765625
XGB_200K,0.02,100000,DOMAIN_TEMPLATE_OOD_EXACT,0.08408239971087816,-0.0021676441837732204,7.185515212994562e-15
R0_200K,0.02,100000,LATE_TEST_Q4,0.0738316505530411,-0.00140815246161991,0.0009765625
XGB_200K,0.02,100000,LATE_TEST_Q4,0.08845978735370519,-0.0036739015352038,8.291872211310297e-12
R0_200K,0.02,100000,OFFICIAL_TEST,0.06357812499999993,-0.00074402805172041,0.0009765625
XGB_200K,0.02,100000,OFFICIAL_TEST,0.0732617187500001,-0.0007703265395573198,1.7565482002587507e-13
R0_200K,0.02,100000,TEMPLATE_OOD_EXACT,0.06450830536676157,-0.000774043519185,0.0009765625
XGB_200K,0.02,100000,TEMPLATE_OOD_EXACT,0.07713556501875396,-0.0006799180554786502,1.8291848280914068e-14
R0_200K,0.02,200000,DOMAIN_OOD_EXACT,0.07399232117296084,-0.0016275567215663003,0.0009765625
XGB_200K,0.02,200000,DOMAIN_OOD_EXACT,0.09372851199315058,-0.00223242481659623,1.2974086225834287e-15
R0_200K,0.02,200000,DOMAIN_TEMPLATE_OOD_EXACT,0.07535959522949043,-0.0016373411534702006,0.0009765625
XGB_200K,0.02,200000,DOMAIN_TEMPLATE_OOD_EXACT,0.09875243946512446,-0.002040566959921771,2.0569216811759964e-15
R0_200K,0.02,200000,LATE_TEST_Q4,0.09170036690859429,-0.0015881418740074007,0.0009765625
XGB_200K,0.02,200000,LATE_TEST_Q4,0.10632850370925839,-0.0038538909475912906,3.248653914639639e-14
R0_200K,0.02,200000,OFFICIAL_TEST,0.07792968749999996,-0.0006793776024546002,0.0009765625
XGB_200K,0.02,200000,OFFICIAL_TEST,0.08761328125000012,-0.0007056760902915101,1.4819322024263314e-15
R0_200K,0.02,200000,TEMPLATE_OOD_EXACT,0.07927465523562416,-0.0007087093737888003,0.0009765625
XGB_200K,0.02,200000,TEMPLATE_OOD_EXACT,0.09190191488761656,-0.0006145839100824505,2.768651140940177e-15
