probe,rep,n,tpr,fpr,FPR_at_TPR90,tpr_sd
LINEAR,R0,5,0.8135199999999999,0.00532,0.01316,0.0182173543633536
LINEAR,RT,5,0.8755599999999999,0.00636,0.00908,0.0048195435468517366
LINEAR,RU,5,0.88948,0.00424,0.0048000000000000004,0.01073461690047671
LINEAR,RUT,5,0.90048,0.00416,0.00408,0.005181891546530106
MLP,R0,5,0.8243600000000001,0.00584,0.013600000000000001,0.008099876542269019
MLP,RT,5,0.86676,0.006279999999999999,0.00956,0.006953272610792739
MLP,RU,5,0.89756,0.0050799999999999994,0.00492,0.009320300424342575
MLP,RUT,5,0.9116799999999999,0.00488,0.00412,0.009979579149443137
