system,volume,prevalence,tp,fp,fn,tn,model_positive,precision,full_path_rate,full_path_cases
URL,10000,0.001,9.315624999999999,68.08875739644971,0.6843750000000004,9921.91124260355,77.4043823964497,0.12035009790902068,0.0,0.0
URL,10000,0.01,93.15625,67.47534516765286,6.8437500000000036,9832.524654832347,160.63159516765285,0.5799372776119908,0.0,0.0
URL,10000,0.05,465.78125,64.74906859522244,34.21875000000002,9435.250931404777,530.5303185952224,0.8779540653460299,0.0,0.0
URL,10000,0.4569796501249554,4257.051053195288,37.01059145543258,312.74544805426655,5393.192907295013,4294.06164465072,0.9913809827342517,0.0,0.0
FULL,10000,0.001,9.611848958333333,66.55621301775147,0.3881510416666667,9923.443786982249,76.1680619760848,0.12619264175779155,1.0,10000.0
FULL,10000,0.01,96.11848958333333,65.95660749506904,3.881510416666667,9834.043392504931,162.07509707840237,0.5930490946233207,1.0,10000.0
FULL,10000,0.05,480.5924479166667,63.291694060924826,19.407552083333336,9436.708305939075,543.8841419775915,0.883630190373279,1.0,10000.0
FULL,10000,0.4569796501249554,4392.419374033084,36.17755563489229,177.37712721647034,5394.025943115554,4428.596929667976,0.99183092157416,1.0,10000.0
CASCADE,10000,0.001,9.576953125,67.9792899408284,0.4230468750000005,9922.020710059172,77.5562430658284,0.12348397429296887,0.06427813979289941,642.7813979289941
CASCADE,10000,0.01,95.76953125,67.36686390532545,4.230468750000005,9832.633136094675,163.13639515532543,0.587051903156349,0.06595694033530572,659.5694033530572
CASCADE,10000,0.05,478.84765625,64.64497041420118,21.152343750000025,9435.355029585799,543.4926266642012,0.8810563984814787,0.07341827607933377,734.1827607933377
CASCADE,10000,0.4569796501249554,4376.472688325598,36.95108889682256,193.32381292395598,5393.252409853623,4413.4237772224205,0.9916275683546352,0.14933357134356776,1493.3357134356775
