reference,margin,budget,p_iut,worst_mean_delta,max_mean_delta,min_delta_fpr,max_delta_fpr,p_holm,supported
R0_200K,0.01,2000,1.0,-0.18070112034694613,-0.16727282466054255,-0.00320804658549499,-0.0012042515888670098,1.0,False
R0_200K,0.01,5000,1.0,-0.1037441272135887,-0.0941393229166667,-0.0021916357861302494,-0.0008568923953539602,1.0,False
R0_200K,0.01,10000,1.0,-0.05253220493317976,-0.04382421875000007,-0.002668078348332459,-0.0011122068814376999,1.0,False
R0_200K,0.01,20000,0.73828125,-0.013738986046760715,-0.004130208333333374,-0.0021916357861302294,-0.0009587990357221698,1.0,False
R0_200K,0.01,50000,0.0009765625,0.03237548661556365,0.03624999999999996,-0.0018035190615836097,-0.0007900504054350593,0.0068359375,True
R0_200K,0.01,100000,0.0009765625,0.059667429198271574,0.0738316505530411,-0.0017644183773216499,-0.00074402805172041,0.0068359375,True
R0_200K,0.01,200000,0.0009765625,0.07399232117296084,0.09170036690859429,-0.0016373411534702006,-0.0006793776024546002,0.0068359375,True
XGB_200K,0.01,2000,0.9999999376161999,-0.16570123240926138,-0.15264468785987828,-0.00547379565907888,-0.0011317202812690299,1.0,False
XGB_200K,0.01,5000,0.9999973084126702,-0.0885614371527681,-0.07720164278738739,-0.004457384859714139,-0.0007751508775815097,1.0,False
XGB_200K,0.01,10000,0.9999937554136915,-0.03790406813251568,-0.027187596152559723,-0.004933827421916349,-0.00103870217595926,1.0,False
XGB_200K,0.01,20000,0.04330823337447546,0.0008891507539033894,0.013950126490784198,-0.004457384859714119,-0.0008836720004429498,0.17323293349790184,False
XGB_200K,0.01,50000,2.561215629338395e-06,0.04593359375000006,0.05584242862305733,-0.0039809422975119,-0.0007131388073750092,1.2806078146691975e-05,True
XGB_200K,0.01,100000,2.559049888801709e-11,0.0732617187500001,0.08845978735370519,-0.0036739015352038,-0.0006799180554786502,1.5354299332810254e-10,True
XGB_200K,0.01,200000,6.816093848139217e-14,0.08761328125000012,0.10632850370925839,-0.0038538909475912906,-0.0006145839100824505,4.771265693697452e-13,True
