allowed_tpr_loss_pp,stream,scenario,escalation_rate,full_path_avoided_rate,delta_tpr_vs_full_pp,delta_fpr_vs_full_pp,tpr,fpr
0.25,URL_BASE,DOMAIN_OOD_EXACT,0.543114469836176,0.45688553016382405,-0.058862088801483435,0.10979934897731125,0.9619001752484916,0.013098187824903981
0.25,URL_BASE,DOMAIN_TEMPLATE_OOD_EXACT,0.5425096507561651,0.45749034924383486,-0.05666787134080529,0.10899315738025406,0.9628015901698591,0.012869012707722338
0.25,URL_BASE,LATE_TEST_Q4,0.5390218878248973,0.4609781121751026,-0.06963228795629602,0.09317098994176812,0.9634162671737325,0.01564849126521964
0.25,URL_BASE,OFFICIAL_TEST,0.48219207425919314,0.5178079257408068,-0.07499999999999832,0.05522682445759368,0.9604348958333333,0.0072145518299364
0.25,URL_BASE,TEMPLATE_OOD_EXACT,0.4777134776055526,0.5222865223944474,-0.0744521842127543,0.05514644814794306,0.961056431371443,0.007151320524887819
0.25,URL_DAPT,DOMAIN_OOD_EXACT,0.36006280355771797,0.639937196442282,-0.27023049858864606,0.07967740368265064,0.95978649115062,0.012796968371957379
0.25,URL_DAPT,DOMAIN_TEMPLATE_OOD_EXACT,0.3538180662155411,0.6461819337844589,-0.26685941452837314,0.0791788856304984,0.9606996747379835,0.01257086999022478
0.25,URL_DAPT,LATE_TEST_Q4,0.4040441176470588,0.5959558823529412,-0.20354053402609423,-0.04870301746956062,0.9620771847130346,0.01422975119110638
0.25,URL_DAPT,OFFICIAL_TEST,0.284982744258003,0.7150172557419969,-0.420052083333331,0.03988603988603988,0.956984375,0.00706114398422084
0.25,URL_DAPT,TEMPLATE_OOD_EXACT,0.2767111392295144,0.7232888607704856,-0.42866409092191304,0.039643430596312486,0.9575143123043514,0.00699629034937152
0.5,URL_BASE,DOMAIN_OOD_EXACT,0.479361957262524,0.5206380427374759,-0.2838758009926278,0.08502161978331627,0.9596500381265802,0.01285041053296406
0.5,URL_BASE,DOMAIN_TEMPLATE_OOD_EXACT,0.47620327898632997,0.52379672101367,-0.2821828695337913,0.08651026392961869,0.9605464401879292,0.01264418377321598
0.5,URL_BASE,LATE_TEST_Q4,0.5013081395348837,0.4986918604651162,-0.3031682691020165,0.019057702488088885,0.9610809073622754,0.01490735839068282
0.5,URL_BASE,OFFICIAL_TEST,0.400623586814233,0.5993764131857671,-0.3447916666666661,0.04142011834319528,0.9577369791666666,0.007076484768792421
0.5,URL_BASE,TEMPLATE_OOD_EXACT,0.3938296645019631,0.6061703354980369,-0.34913562142192545,0.04230109074802058,0.9583095969993515,0.0070228669508886
0.5,URL_DAPT,DOMAIN_OOD_EXACT,0.34949662258340014,0.6505033774165998,-0.3347112413211839,0.06898897148131944,0.9591416837232947,0.012690084049944062
0.5,URL_DAPT,DOMAIN_TEMPLATE_OOD_EXACT,0.3429002225350833,0.6570997774649167,-0.32786411275750327,0.0689149560117301,0.9600896277556922,0.012468230694037099
0.5,URL_DAPT,LATE_TEST_Q4,0.39845673734610115,0.6015432626538988,-0.2597819973754056,-0.08046585494970884,0.9615147700795414,0.013912122816304901
0.5,URL_DAPT,OFFICIAL_TEST,0.2729203855765797,0.7270796144234202,-0.4947916666666652,0.034407188253342116,0.9562369791666667,0.00700635546789386
0.5,URL_DAPT,TEMPLATE_OOD_EXACT,0.2644275320518784,0.7355724679481216,-0.5008601483403385,0.03432811029289633,0.9567923517301672,0.006943137146337359
1.0,URL_BASE,DOMAIN_OOD_EXACT,0.43972497562911395,0.560275024370886,-0.5712298163235263,0.06218724189865417,0.9567764979732711,0.01262206675411744
1.0,URL_BASE,DOMAIN_TEMPLATE_OOD_EXACT,0.43537672010536355,0.5646232798946365,-0.5718829056740171,0.06304985337243396,0.957649439826527,0.01240957966764414
1.0,URL_BASE,LATE_TEST_Q4,0.4737431600547195,0.5262568399452804,-0.6063365382040287,-0.06776071995764957,0.9580492246712552,0.014039174166225441
1.0,URL_BASE,OFFICIAL_TEST,0.35746043079852435,0.6425395692014757,-0.6864583333333331,0.02651764190225734,0.9543203124999999,0.006927460004383041
1.0,URL_BASE,TEMPLATE_OOD_EXACT,0.34992525880302433,0.6500747411969756,-0.6962971318988154,0.02701954487569902,0.9548379818945826,0.00687005149216538
1.0,URL_DAPT,DOMAIN_OOD_EXACT,0.3071473554353546,0.6928526445646455,-0.7336356704258119,0.03838118835932558,0.9551524394322483,0.01238400621872412
