folder,run,budget,variant,AP,AUC,P_at_R90,FPR_at_TPR90
putra_r0_vs_rut_label_efficiency,6,500,R0,0.8845249037448104,0.9314497877255417,0.7170305676855895,0.19217081850533807
putra_r0_vs_rut_label_efficiency,6,500,RUT,0.9232934438188861,0.9532443393477764,0.7552897884084636,0.15776986951364175
putra_r0_vs_rut_label_efficiency,6,1000,R0,0.9125048008666761,0.9516867494953278,0.7767265846736046,0.13997627520759193
putra_r0_vs_rut_label_efficiency,6,1000,RUT,0.9331039331861435,0.9633241243678592,0.8311425682507584,0.09905100830367734
putra_r0_vs_rut_label_efficiency,6,2000,R0,0.9364146233507695,0.9674063755176792,0.842374616171955,0.09134045077105575
putra_r0_vs_rut_label_efficiency,6,2000,RUT,0.9541745413752015,0.9752548073921459,0.879957127545552,0.066429418742586
putra_r0_vs_rut_label_efficiency,7,200,R0,0.8453508466343277,0.9073796591121932,0.6427457098283932,0.27164887307236063
putra_r0_vs_rut_label_efficiency,7,200,RUT,0.8617294779878762,0.9123665480427046,0.6200906344410876,0.29833926453143533
putra_r0_vs_rut_label_efficiency,7,500,R0,0.8808018190410506,0.9301451842833657,0.6870292887029289,0.22182680901542112
putra_r0_vs_rut_label_efficiency,7,500,RUT,0.9145233222339054,0.9496140819129674,0.761595547309833,0.15243179122182682
putra_r0_vs_rut_label_efficiency,7,1000,R0,0.9167368220179425,0.9551622234708955,0.8096646942800789,0.11447212336892053
putra_r0_vs_rut_label_efficiency,7,1000,RUT,0.9488160216993535,0.9702568625002602,0.870625662778367,0.07236061684460261
putra_r0_vs_rut_label_efficiency,7,2000,R0,0.9297913639005186,0.9631605611745853,0.836901121304791,0.09489916963226572
putra_r0_vs_rut_label_efficiency,7,2000,RUT,0.9600290493356922,0.9782906443154148,0.9092920353982301,0.04863582443653618
putra_r0_vs_rut_label_efficiency,8,200,R0,0.8378543814877503,0.9038371990177103,0.6409055425448869,0.27283511269276395
putra_r0_vs_rut_label_efficiency,8,200,RUT,0.8843715115740475,0.9330483496701422,0.7164048865619547,0.19276393831553973
putra_r0_vs_rut_label_efficiency,8,500,R0,0.8985181882378729,0.9411582225135794,0.7644320297951583,0.15005931198102015
putra_r0_vs_rut_label_efficiency,8,500,RUT,0.9293621904945046,0.9577798849139456,0.8170974155069582,0.10913404507710557
putra_r0_vs_rut_label_efficiency,8,1000,R0,0.9314602289753848,0.962244542257185,0.8459958932238193,0.08896797153024912
putra_r0_vs_rut_label_efficiency,8,1000,RUT,0.9489753361297042,0.970996961561674,0.8599791013584117,0.07947805456702253
putra_r0_vs_rut_label_efficiency,8,2000,R0,0.9401285896533735,0.9665830315706229,0.860587002096436,0.07888493475682087
putra_r0_vs_rut_label_efficiency,8,2000,RUT,0.9591749871139134,0.9763363405548273,0.8954248366013072,0.05693950177935943
putra_r0_vs_rut_label_efficiency,9,200,R0,0.8175964826944001,0.8890378191921083,0.630568356374808,0.28529062870699884
putra_r0_vs_rut_label_efficiency,9,200,RUT,0.8421390640898109,0.8947901708601278,0.5922190201729106,0.33570581257413995
putra_r0_vs_rut_label_efficiency,9,500,R0,0.8812540432991384,0.9327758527397974,0.7376460017969452,0.17319098457888493
putra_r0_vs_rut_label_efficiency,9,500,RUT,0.9153184796582297,0.9508386922228466,0.7552897884084636,0.15776986951364175
putra_r0_vs_rut_label_efficiency,9,1000,R0,0.9189296825710155,0.9524808276622754,0.7821122740247384,0.13582443653618032
putra_r0_vs_rut_label_efficiency,9,1000,RUT,0.9464886365040942,0.9693281617448128,0.8463917525773196,0.08837485172004746
putra_r0_vs_rut_label_efficiency,9,2000,R0,0.9371232021725248,0.962163898774219,0.8569937369519833,0.08125741399762752
putra_r0_vs_rut_label_efficiency,9,2000,RUT,0.9597293704884938,0.9766133899398556,0.9041850220264317,0.051601423487544484
putra_target_adaptation_v1,0,200,E1_TARGET_RUT,0.8468588953651316,0.9140990822251358,0.6521048451151708,0.2597864768683274
