budget,baseline_mean,adapted_mean,n,mean_delta,ci95_lo,ci95_hi,positive_pairs,negative_pairs,p_raw,p_holm
200,0.8651461740503226,0.8423412395365816,10,-0.022804934513740983,-0.0337628686857145,-0.011847000341767461,1,9,0.00390625,0.01171875
500,0.9175671370477747,0.9044212706527466,10,-0.013145866395028039,-0.018969133555624476,-0.007322599234431601,0,10,0.001953125,0.0078125
1000,0.9404951456733238,0.935546892066889,10,-0.004948253606434782,-0.007513911512859681,-0.0023825957000098838,1,9,0.005859375,0.01171875
2000,0.9560829866627287,0.950981073556121,10,-0.005101913106607836,-0.007506349818368004,-0.002697476394847667,1,9,0.005859375,0.01171875
