budget,variant,AP,AUC,P_at_R90,FPR_at_TPR90
200,E0_SOURCE_RUT,0.8651461740503226,0.9185269947555723,0.670941615122938,0.2420521945432977
200,E1_TARGET_RUT,0.8423412395365816,0.9069342339389399,0.6415467509248525,0.2738434163701068
500,E0_SOURCE_RUT,0.9175671370477747,0.9527236035670434,0.7831499382057465,0.13534994068801895
500,E1_TARGET_RUT,0.9044212706527466,0.9480766529312605,0.7743483356118623,0.14353499406880185
1000,E0_SOURCE_RUT,0.9404951456733238,0.9666749261201641,0.8450056119713636,0.08967971530249105
1000,E1_TARGET_RUT,0.935546892066889,0.9656732560196458,0.8512213459376341,0.0855871886120996
2000,E0_SOURCE_RUT,0.9560829866627287,0.9755867463736447,0.8913258954520279,0.05954922894424669
2000,E1_TARGET_RUT,0.950981073556121,0.9740459355684585,0.8871642029204556,0.06204033214709366
