replicate,model_seed,label_rank_seed,rep,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,tp,fp,tn,fn,fp_per_1000,AP,P_at_R90,f1,fpr_ci_lo,fpr_ci_hi,AUC,FPR_at_TPR90,FPR_at_TPR95
2,182,9103,RT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.8046875000000004,0.7571805059464087,0.0105912646358645,0.9923557051686654,56600,436,40730,18151,10.591264635864547,0.9907540151555722,0.9857722683780972,,,,,,
2,182,9103,RT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.8046875000000004,0.7380072760089117,0.0054039089751398,0.9907621247113164,52338,488,89817,18580,5.403908975139804,0.984829565435057,0.9811718053548922,,,,,,
2,182,9103,RT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.8046875000000004,0.7491434766895555,0.0103616813294232,0.991884546185354,51822,424,40496,17353,10.361681329423266,0.9899666557228728,0.984986077711682,,,,,,
2,182,9103,RT,20000,FINAL,LATE_TEST_Q4,0.005,2.8046875000000004,0.7801494416026139,0.007940709370037,0.997431946584489,29130,75,9370,8209,7.940709370037057,0.9957598522351307,0.9935897435897436,,,,,,
3,202,9104,R0,20000,FINAL,OFFICIAL_TEST,0.005,3.2304687500000004,0.670546875,0.0048980933596318,0.991394744441236,51498,447,90813,25302,4.898093359631821,0.9832397269647996,0.9739738188171968,,,,,,
3,202,9104,R0,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.2304687500000004,0.6802049470910089,0.0092795025020648,0.9925431404700554,50846,382,40784,23905,9.27950250206481,0.9885921640297896,0.9796001572578884,,,,,,
3,202,9104,R0,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,3.2304687500000004,0.6594235596040497,0.0047394939372127,0.9909308583900156,46765,428,89877,24153,4.739493937212779,0.9819142500834604,0.9726023222503276,,,,,,
3,202,9104,R0,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.2304687500000004,0.6690711962414166,0.0088709677419354,0.9922179822492818,46283,363,40557,22892,8.870967741935484,0.9876887691844368,0.978654175639353,,,,,,
3,202,9104,R0,20000,FINAL,LATE_TEST_Q4,0.005,3.2304687500000004,0.6911808029138434,0.0064584436209634,0.9976419652866364,25808,61,9384,11531,6.458443620963473,0.9951218529267452,0.992997488550746,,,,,,
3,202,9104,RT,20000,FINAL,OFFICIAL_TEST,0.005,3.2109375000000004,0.7020963541666667,0.0049857549857549,0.9916323377960864,53921,455,90805,22879,4.985754985754986,0.9852281367320552,0.9804705782240564,,,,,,
