run,model_seed,label_rank_seed,rep,probe,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
2,222,9203,RT,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.2212151870738746,0.8826,0.0072,0.9919082939986514,0.9340670970473068,4413,36,4964,587,7.2,0.005047738871108,0.0099540292784517,0.99485052457319,0.9945686,0.9899100679973678,0.0092,0.0206
2,222,9203,RT,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,2.530256509780884,0.8786,0.007,0.9920957542908764,0.9319049639372085,4393,35,4965,607,7.0,0.0048804591301544,0.0097219808850768,0.9949997471775588,0.99474996,0.990580503833516,0.0086,0.0228
2,222,9203,RUT,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.439656489922488,0.8946,0.0036,0.995991983967936,0.9425771783795176,4473,18,4982,527,3.6,0.0021349409997656,0.0056836068732781,0.9967532423036394,0.99644016,0.995813133539004,0.0038,0.0096
2,222,9203,RUT,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,2.1036162376403813,0.9062,0.0042,0.9953866432337434,0.9487018425460636,4531,21,4979,469,4.2,0.0026016891261868,0.0064130175484226,0.9971006967342896,0.9968711999999998,0.9953886693017128,0.0042,0.0108
2,222,9203,RU,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.5770304628634624,0.8806,0.004,0.9954781822292562,0.934521914464608,4403,20,4980,597,4.0,0.0024449638115109,0.0061709476555323,0.99624004391507,0.99589288,0.9944787985865724,0.005,0.0148
2,222,9203,RU,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,2.592194557189942,0.8892,0.0042,0.9952988582941572,0.9392627020175344,4446,21,4979,554,4.2,0.0026016891261868,0.0064130175484226,0.9966584273966606,0.9964022,0.995374449339207,0.0042,0.0138
3,232,9204,R0,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.583056189887054,0.8392,0.0064,0.9924314096499528,0.9094061551798872,4196,32,4968,804,6.4,0.0043815932257816,0.009022979782141,0.993169678909184,0.9932326,0.9853455818022748,0.0134,0.026
3,232,9204,R0,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,3.0901679992675786,0.8346,0.0068,0.9919182315188972,0.9064841968067776,4173,34,4966,827,6.8,0.0047136604654912,0.0094894700474011,0.9932518075611606,0.99333704,0.9840437158469946,0.0146,0.0292
3,232,9204,RT,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.2921767827497552,0.8776,0.0082,0.9907428313389028,0.930745572170962,4388,41,4959,612,8.200000000000001,0.0058907036735545,0.011107944987749,0.9948547333591828,0.9946924,0.988359323522952,0.0106,0.0216
3,232,9204,RT,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,3.181768655776978,0.8612,0.0058,0.9933102652825836,0.9225495447241564,4306,29,4971,694,5.8,0.0038876900728952,0.0083192256887251,0.9949219016865158,0.99477604,0.9883899233296825,0.0106,0.0244
3,232,9204,RUT,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.4071019980610124,0.8976,0.004,0.9955634427684116,0.944047118216239,4488,20,4980,512,4.0,0.0024449638115109,0.0061709476555323,0.9969144909430852,0.996663,0.995576199955762,0.004,0.012
3,232,9204,RUT,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,1.9457187652587893,0.924,0.005,0.9946178686759956,0.95800933125972,4620,25,4975,380,5.0,0.0032382717693455,0.0073721959167708,0.9973826703709304,0.99726512,0.9955985915492958,0.004,0.0104
3,232,9204,RU,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.3214889231891647,0.8982,0.0044,0.9951251938843342,0.9441816461684012,4491,22,4978,509,4.4,0.0027594486950026,0.0066541175763954,0.9962798388909084,0.99604568,0.9949227373068432,0.0046,0.0148
3,232,9204,RU,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,2.5985231399536137,0.9062,0.006,0.9934224950668712,0.9478088066101872,4531,30,4970,469,6.0,0.0040517282786946,0.0085543801346865,0.9967099270069726,0.9965842,0.994067237969677,0.0054,0.0136
4,242,9205,R0,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.9862077667127966,0.8026,0.0044,0.99454770755886,0.8883231876037632,4013,22,4978,987,4.4,0.0027594486950026,0.0066541175763954,0.9933525472348405,0.99324504,0.9862144420131292,0.0126,0.0318
4,242,9205,R0,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,3.550831317901612,0.8168,0.006,0.992707826932426,0.8962036427474215,4084,30,4970,916,6.0,0.0040517282786946,0.0085543801346865,0.9933444183429396,0.99322544,0.983825136612022,0.0148,0.03
4,242,9205,RT,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.3044694362268667,0.8734,0.006,0.9931771662497156,0.9294455677343832,4367,30,4970,633,6.0,0.0040517282786946,0.0085543801346865,0.9950418773565568,0.9948092,0.9898834396305256,0.0092,0.0234
4,242,9205,RT,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,3.005432844161988,0.8622,0.0058,0.9933179723502304,0.9231263383297644,4311,29,4971,689,5.8,0.0038876900728952,0.0083192256887251,0.994782673988615,0.99454984,0.989233135574599,0.0098,0.0248
4,242,9205,RUT,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.313088540500168,0.9038,0.0032,0.9964718853362734,0.9478762454116414,4519,16,4984,481,3.2,0.0018301486598199,0.005191411332075,0.9968029222708328,0.99652464,0.9964734405995151,0.0032,0.0138
4,242,9205,RUT,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,3.288817405700684,0.9086,0.0042,0.995398773006135,0.9500209117524048,4543,21,4979,457,4.2,0.0026016891261868,0.0064130175484226,0.997229017241234,0.9970462,0.996238105775614,0.0034,0.0114
4,242,9205,RU,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.64000046695428,0.8758,0.0032,0.9963594994311716,0.9321979776476848,4379,16,4984,621,3.2,0.0018301486598199,0.005191411332075,0.9962258525728894,0.99591276,0.9953601414052144,0.0042,0.0162
4,242,9205,RU,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,3.460668087005616,0.8904,0.0036,0.995973154362416,0.9402323125659978,4452,18,4982,548,3.6,0.0021349409997656,0.0056836068732781,0.9967279499527514,0.99651032,0.996029995588884,0.0036,0.0166
