seed,rep,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
42,RUT,20000,FINAL,OFFICIAL_TEST,0.0001,8.226562500000002,0.3073046875,9.861932938856015e-05,0.9996188055908514,0.47009262025694654,23601,9,91251,53199,0.09861932938856015,4.509599703668267e-05,0.0001872019140673338,0.990258654465163,0.9905339396310451,0.9883902146094565,0.008897655051501205,0.02504930966469428
42,RUT,20000,FINAL,DOMAIN_OOD_EXACT,0.0001,8.226562500000002,0.308557745046889,0.00014575134819997084,0.999739933249534,0.47157081229171344,23065,6,41160,51686,0.14575134819997085,5.3489993946137224e-05,0.00031721212355325306,0.9934666765221725,0.9878486906738146,0.9908832496281131,0.01503668075596366,0.039862993732692024
42,RUT,20000,FINAL,TEMPLATE_OOD_EXACT,0.0001,8.226562500000002,0.3099918215403706,9.966225568905376e-05,0.9995907788841905,0.47322706676281606,21984,9,90296,48934,0.09966225568905376,4.557290976043704e-05,0.00018918153673388188,0.9894899993074231,0.9903136589613359,0.987929246815952,0.008637395493051326,0.023464924422789437
42,RUT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,8.226562500000002,0.31215034333212865,0.0001466275659824047,0.9997222093615445,0.4757529689118029,21593,6,40914,47582,0.1466275659824047,5.381157235375347e-05,0.0003191189527555247,0.9929426041543343,0.9876600711640933,0.9905027044225263,0.014589442815249267,0.037683284457478004
42,RUT,20000,FINAL,LATE_TEST_Q4,0.0001,8.226562500000002,0.326628993813439,0.00031762837480148225,0.9997540782031314,0.49238968064919864,12196,3,9442,25143,0.31762837480148226,6.550739745275095e-05,0.0009279615358002064,0.9968508273146091,0.9879322526637782,0.9963248369887374,0.0131286394917946,0.03885653785071466
42,RUT,20000,FINAL,OFFICIAL_TEST,0.0005,7.171875000000001,0.4802604166666667,0.0005369274600043831,0.9986732732244876,0.6486068247562273,36884,49,91211,39916,0.5369274600043831,0.00039724746612606303,0.0007097851993603253,0.990258654465163,0.9905339396310451,0.9883902146094565,0.008897655051501205,0.02504930966469428
42,RUT,20000,FINAL,DOMAIN_OOD_EXACT,0.0005,7.171875000000001,0.4829099276263863,0.0007773405237331779,0.9991143094381401,0.6511124538920104,36098,32,41134,38653,0.7773405237331779,0.0005317592045077385,0.0010971972713727481,0.9934666765221725,0.9878486906738146,0.9908832496281131,0.01503668075596366,0.039862993732692024
42,RUT,20000,FINAL,TEMPLATE_OOD_EXACT,0.0005,7.171875000000001,0.476056854395217,0.0005315320303416201,0.9985802596941643,0.6447429984626696,33761,48,90257,37157,0.5315320303416201,0.0003919349536984739,0.0007046733227534756,0.9894899993074231,0.9903136589613359,0.987929246815952,0.008637395493051326,0.023464924422789437
42,RUT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,7.171875000000001,0.47960968558005057,0.0007575757575757576,0.9990664900024091,0.6480958752917965,33177,31,40889,35998,0.7575757575757576,0.0005147921969350037,0.0010751474665003516,0.9929426041543343,0.9876600711640933,0.9905027044225263,0.014589442815249267,0.037683284457478004
42,RUT,20000,FINAL,LATE_TEST_Q4,0.0005,7.171875000000001,0.4983797102225555,0.001270513499205929,0.9993555662961173,0.6650822015725518,18609,12,9433,18730,1.270513499205929,0.0006566597451132674,0.00221827855005892,0.9968508273146091,0.9879322526637782,0.9963248369887374,0.0131286394917946,0.03885653785071466
42,RUT,20000,FINAL,OFFICIAL_TEST,0.001,6.386718750000001,0.58640625,0.0009423624808240192,0.998094056114534,0.7387674086711177,45036,86,91174,31764,0.9423624808240193,0.0007538353144343939,0.0011636811163384885,0.990258654465163,0.9905339396310451,0.9883902146094565,0.008897655051501205,0.02504930966469428
42,RUT,20000,FINAL,DOMAIN_OOD_EXACT,0.001,6.386718750000001,0.590226217709462,0.0014332215906330467,0.9986645238688064,0.7419490456571093,44120,59,41107,30631,1.4332215906330468,0.0010912081796783013,0.0018483672450656987,0.9934666765221725,0.9878486906738146,0.9908832496281131,0.01503668075596366,0.039862993732692024
42,RUT,20000,FINAL,TEMPLATE_OOD_EXACT,0.001,6.386718750000001,0.5748752079866889,0.0009412546370632856,0.9979194203749939,0.7295029166517555,40769,85,90220,30149,0.9412546370632856,0.0007519078349669949,0.0011637463634400684,0.9894899993074231,0.9903136589613359,0.987929246815952,0.008637395493051326,0.023464924422789437
42,RUT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.001,6.386718750000001,0.5794145283700759,0.0014173998044965787,0.9985550213009791,0.7333186965987889,40081,58,40862,29094,1.4173998044965788,0.0010764615921963659,0.0018319377233398967,0.9929426041543343,0.9876600711640933,0.9905027044225263,0.014589442815249267,0.037683284457478004
42,RUT,20000,FINAL,LATE_TEST_Q4,0.001,6.386718750000001,0.6108090736227537,0.002011646373742721,0.9991676158766319,0.7581484251641321,22807,19,9426,14532,2.011646373742721,0.001211563491765025,0.003139660252051083,0.9968508273146091,0.9879322526637782,0.9963248369887374,0.0131286394917946,0.03885653785071466
42,RUT,20000,FINAL,OFFICIAL_TEST,0.0025,4.378906250000001,0.7065104166666667,0.0028380451457374533,0.9952493626075313,0.8263846054264805,54260,259,91001,22540,2.8380451457374534,0.002503309077921668,0.003204973879499303,0.990258654465163,0.9905339396310451,0.9883902146094565,0.008897655051501205,0.02504930966469428
42,RUT,20000,FINAL,DOMAIN_OOD_EXACT,0.0025,4.378906250000001,0.7108132332677823,0.004809794490599038,0.9962874071851796,0.829680753886152,53134,198,40968,21617,4.809794490599038,0.004164438753088928,0.0055264411270156645,0.9934666765221725,0.9878486906738146,0.9908832496281131,0.01503668075596366,0.039862993732692024
42,RUT,20000,FINAL,TEMPLATE_OOD_EXACT,0.0025,4.378906250000001,0.6944358272934938,0.0027462488234317036,0.9949894941005334,0.8179779759828592,49248,248,90057,21670,2.7462488234317037,0.002415449645249187,0.0031096015301189913,0.9894899993074231,0.9903136589613359,0.987929246815952,0.008637395493051326,0.023464924422789437
42,RUT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0025,4.378906250000001,0.699168774846404,0.004667644183773216,0.9960663975615783,0.8216187750040346,48365,191,40729,20810,4.667644183773215,0.004030368452136145,0.005376689850316797,0.9929426041543343,0.9876600711640933,0.9905027044225263,0.014589442815249267,0.037683284457478004
42,RUT,20000,FINAL,LATE_TEST_Q4,0.0025,4.378906250000001,0.7312729317871395,0.005293806246691371,0.9981721805885578,0.8441277398213126,27305,50,9395,10034,5.293806246691371,0.003931642417879209,0.0069733379560803265,0.9968508273146091,0.9879322526637782,0.9963248369887374,0.0131286394917946,0.03885653785071466
42,RUT,20000,FINAL,OFFICIAL_TEST,0.005,2.8203125000000004,0.8312239583333333,0.005665132588209511,0.9919664361743454,0.9045092274450072,63838,517,90743,12962,5.665132588209511,0.005188476104323165,0.0061736094104311474,0.990258654465163,0.9905339396310451,0.9883902146094565,0.008897655051501205,0.02504930966469428
42,RUT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.8203125000000004,0.8371259247367928,0.010154010591264636,0.9933644474076896,0.908577443827362,62576,418,40748,12175,10.154010591264637,0.009208078366106313,0.011169958999780773,0.9934666765221725,0.9878486906738146,0.9908832496281131,0.01503668075596366,0.039862993732692024
42,RUT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.8203125000000004,0.8268845709128853,0.005459276894967056,0.9916630026718978,0.9018085073662843,58641,493,89812,12277,5.459276894967056,0.004989095970072197,0.005961639236670804,0.9894899993074231,0.9903136589613359,0.987929246815952,0.008637395493051326,0.023464924422789437
42,RUT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.8203125000000004,0.8332056378749548,0.009775171065493646,0.9931078449954339,0.9061566518881866,57637,400,40520,11538,9.775171065493646,0.008844608631466832,0.010776250139440344,0.9929426041543343,0.9876600711640933,0.9905027044225263,0.014589442815249267,0.037683284457478004
42,RUT,20000,FINAL,LATE_TEST_Q4,0.005,2.8203125000000004,0.8471839095851522,0.009211222869242986,0.9972572509457756,0.9161152058384858,31633,87,9358,5706,9.211222869242986,0.007384203485791873,0.011349772204463269,0.9968508273146091,0.9879322526637782,0.9963248369887374,0.0131286394917946,0.03885653785071466
42,RUT,20000,FINAL,OFFICIAL_TEST,0.01,1.1718750000000002,0.9162890625,0.011450799912338374,0.9853674246667413,0.9495735952933557,70371,1045,90215,6429,11.450799912338374,0.010770604044192,0.012162308899805322,0.990258654465163,0.9905339396310451,0.9883902146094565,0.008897655051501205,0.02504930966469428
42,RUT,20000,FINAL,DOMAIN_OOD_EXACT,0.01,1.1718750000000002,0.9223020427820363,0.021522615750862364,0.9873118618339085,0.9537003734956424,68943,886,40280,5808,21.522615750862364,0.02014244585658683,0.022970834923825217,0.9934666765221725,0.9878486906738146,0.9908832496281131,0.01503668075596366,0.039862993732692024
42,RUT,20000,FINAL,TEMPLATE_OOD_EXACT,0.01,1.1718750000000002,0.9168194252516991,0.01115109905320857,0.9847484324357072,0.9495706274097442,65019,1007,89298,5899,11.15109905320857,0.010476417436184085,0.011857450404585395,0.9894899993074231,0.9903136589613359,0.987929246815952,0.008637395493051326,0.023464924422789437
42,RUT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.01,1.1718750000000002,0.9231803397181062,0.020894428152492667,0.9867884294455777,0.9539252078182999,63861,855,40065,5314,20.89442815249267,0.019530454343322713,0.022326963807589393,0.9929426041543343,0.9876600711640933,0.9905027044225263,0.014589442815249267,0.037683284457478004
42,RUT,20000,FINAL,LATE_TEST_Q4,0.01,1.1718750000000002,0.9182624065989984,0.016516675489677078,0.9954707778068113,0.9553091304226686,34287,156,9289,3052,16.516675489677077,0.01404333061655098,0.01929428977858005,0.9968508273146091,0.9879322526637782,0.9963248369887374,0.0131286394917946,0.03885653785071466
