replicate,model_seed,label_rank_seed,rep,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
0,142,9101,RU,20000,FINAL,OFFICIAL_TEST,0.005,2.7871093750000004,0.8658072916666667,0.0056541748849441,0.9922996567676466,0.9247479312982408,66494,516,90744,10306,5.654174884944116,0.0051779872987632,0.0061621839597811,0.9898484465267176,0.990259107449412,0.989251928498848,0.008229235152312,0.0275147928994082
0,142,9101,RU,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.7871093750000004,0.8717074019076668,0.0103969295049312,0.993474515543765,0.928616217756876,65161,428,40738,9590,10.396929504931254,0.009439582563485,0.0114242447772478,0.9929602237578083,0.9869511216825928,0.9914686077180368,0.0140650051012971,0.0456930476606908
0,142,9101,RU,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.7871093750000004,0.86537973434107,0.0055146448147943,0.99195073461669,0.9243525345101554,61371,498,89807,9547,5.514644814794308,0.0050420442821714,0.0060194207682089,0.9890827868488382,0.990043007128146,0.9889679108755944,0.0078843917834006,0.0266984109407009
0,142,9101,RU,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.7871093750000004,0.8715142753885075,0.0101417399804496,0.993163322460545,0.928370689190542,60287,415,40505,8888,10.141739980449657,0.0091936192270744,0.0111603036778728,0.992406642746962,0.9867383211081872,0.9911645307649448,0.0135630498533724,0.0441837732160312
0,142,9101,RU,20000,FINAL,LATE_TEST_Q4,0.005,2.7871093750000004,0.8554862208414794,0.0098464796188459,0.9970970158571608,0.9208792792792792,31943,93,9352,5396,9.846479618845953,0.0079545279758889,0.0120492145515186,0.9966844066011998,0.9880788967253528,0.9957924679249756,0.0150344097406034,0.0369507676019057
0,142,9101,RUT,20000,FINAL,OFFICIAL_TEST,0.005,2.8671875000000004,0.8512239583333333,0.0054898093359631,0.9923946869070208,0.916404415629928,65374,501,90759,11426,5.489809335963182,0.0050207114415715,0.0059907461348385,0.9908347949625044,0.9911124398753104,0.990117161763442,0.0075608152531229,0.0207429322813938
0,142,9101,RUT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.8671875000000004,0.8571524126767535,0.0100325511344313,0.993595509102751,0.920344448673844,64073,413,40753,10678,10.032551134431326,0.0090923790246742,0.0110427635366175,0.9938504645191122,0.9886074024096168,0.9922421167517184,0.0127775348588641,0.0342758587183598
0,142,9101,RUT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.8671875000000004,0.84955864519586,0.005359614639278,0.9920306917162004,0.9152835907057296,60249,484,89821,10669,5.359614639278003,0.0048938206389063,0.0058576009434651,0.9901502784333466,0.9909108395064384,0.9896301577952072,0.0074082276728863,0.0200099662255689
0,142,9101,RUT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.8671875000000004,0.8558149620527647,0.0097751710654936,0.9932887032096775,0.9194415108405294,59201,400,40520,9974,9.775171065493646,0.0088446086314668,0.0107762501394403,0.9933858678359648,0.9884441373879628,0.9919552681046292,0.0123411534701857,0.0325757575757575
0,142,9101,RUT,20000,FINAL,LATE_TEST_Q4,0.005,2.8671875000000004,0.862904737673746,0.0091053467443091,0.9973379557976848,0.9252638380357529,32220,86,9359,5119,9.105346744309156,0.0072893706354501,0.0112329807708532,0.9969760308850024,0.9887703382275604,0.9963618078561288,0.0130227633668607,0.0322922181048173
