run,model_seed,label_rank_seed,budget,rep,probe,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
1,62,20260823,20000,RU,LINEAR,FINAL,OFFICIAL_TEST,0.0001,6.798948287963868,0.3077734375,0.0001205347359193513,0.9995348443843031,0.47063157056387384,23637,11,91249,53163,0.12053473591935131,6.017199236596024e-05,0.000215659678825251,0.9854221314548981,0.9864913851478606,0.9639365752297544,0.028336620644312954,0.0675542406311637
1,62,20260823,20000,RU,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.0001,6.798948287963868,0.3141496434830303,0.0002672108050332799,0.9995317953520048,0.47804977352537026,23483,11,41155,51268,0.2672108050332799,0.00013339797691676333,0.0004780635240094981,0.9892386568561076,0.98044419341231,0.9715379061371842,0.047879317883690424,0.10924063547587815
1,62,20260823,20000,RU,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.0001,6.798948287963868,0.3145181759214868,0.00011073583965450419,0.9995518709388304,0.47847865026331876,22305,10,90295,48613,0.11073583965450419,5.310337564936145e-05,0.0002036376912756663,0.9845074352394058,0.9864571782589019,0.9600246649922546,0.029433586180167212,0.06793643762803832
1,62,20260823,20000,RU,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,6.798948287963868,0.3205782435851102,0.00024437927663734115,0.999549265302443,0.48545878438283296,22176,10,40910,46999,0.24437927663734116,0.00011719538338530166,0.0004493761158050493,0.9885597246502484,0.9805310044615334,0.9687101291426793,0.0491446725317693,0.10911534701857283
1,62,20260823,20000,RU,LINEAR,FINAL,LATE_TEST_Q4,0.0001,6.798948287963868,0.3199871448083773,0.00010587612493382742,0.9999163109883672,0.48482389222528816,11948,1,9444,25391,0.10587612493382742,2.6805478085206315e-06,0.0005897612665539468,0.995057883929525,0.9815855958451212,0.9853445496380103,0.05293806246691371,0.10566437268395977
1,62,20260823,20000,RU,LINEAR,FINAL,OFFICIAL_TEST,0.0005,4.992210388183595,0.4906510416666667,0.0006136313828621521,0.9985160845831788,0.6579825036232517,37682,56,91204,39118,0.6136313828621521,0.0004635628072350015,0.0007967783858558126,0.9854221314548981,0.9864913851478606,0.9639365752297544,0.028336620644312954,0.0675542406311637
1,62,20260823,20000,RU,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.0005,4.992210388183595,0.4988428248451526,0.001141718894233105,0.9987411613456182,0.6653581592869825,37289,47,41119,37462,1.141718894233105,0.000839008975250557,0.0015179582223898605,0.9892386568561076,0.98044419341231,0.9715379061371842,0.047879317883690424,0.10924063547587815
1,62,20260823,20000,RU,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.0005,4.992210388183595,0.4942750782593982,0.000609047118099773,0.9984334054916258,0.6612151736366552,35053,55,90250,35865,0.609047118099773,0.0004588495700008267,0.000792685714651022,0.9845074352394058,0.9864571782589019,0.9600246649922546,0.029433586180167212,0.06793643762803832
1,62,20260823,20000,RU,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,4.992210388183595,0.5024069389230214,0.0011241446725317693,0.9986781609195402,0.6685068526088002,34754,46,40874,34421,1.1241446725317692,0.0008231290902981146,0.0014991700415776534,0.9885597246502484,0.9805310044615334,0.9687101291426793,0.0491446725317693,0.10911534701857283
1,62,20260823,20000,RU,LINEAR,FINAL,LATE_TEST_Q4,0.0005,4.992210388183595,0.4651972468464608,0.0011646373742721016,0.9993671250215753,0.6348684210526316,17370,11,9434,19969,1.1646373742721017,0.0005815216151671629,0.0020829002419568074,0.995057883929525,0.9815855958451212,0.9853445496380103,0.05293806246691371,0.10566437268395977
1,62,20260823,20000,RU,LINEAR,FINAL,OFFICIAL_TEST,0.001,4.269533634185792,0.5651692708333333,0.0011943896559281175,0.9974950590614515,0.7215286666555846,43405,109,91151,33395,1.1943896559281175,0.0009808176289378828,0.00144061186827456,0.9854221314548981,0.9864913851478606,0.9639365752297544,0.028336620644312954,0.0675542406311637
