run,model_seed,label_rank_seed,budget,rep,probe,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
0,42,20260813,5000,RT,LINEAR,FINAL,OFFICIAL_TEST,0.0001,6.588533878326417,0.17983072916666668,0.00015340784571553804,0.9989873417721519,0.30479448275862076,13811,14,91246,62989,0.15340784571553803,8.387195349274061e-05,0.0002573789156577171,0.9798449433821419,0.9821500011128917,0.9472905188718033,0.04214332675871137,0.08532763532763533
0,42,20260813,5000,RT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.0001,6.588533878326417,0.18414469371647202,0.0003157945877666035,0.9990564668311801,0.31097154604705807,13765,13,41153,60986,0.3157945877666035,0.00016815769017634017,0.0005399578202940708,0.9855277825978912,0.9749524470733516,0.9600987541563798,0.06792012826118642,0.12456881892824176
0,42,20260813,5000,RT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.0001,6.588533878326417,0.17435629882399392,0.00015503017551630585,0.9988690524274981,0.2968894437974957,12365,14,90291,58553,0.15503017551630585,8.475894852843772e-05,0.00026010062485524283,0.9779956775679638,0.9816787910085939,0.9422497785651018,0.04331986047284204,0.08700514921654394
0,42,20260813,5000,RT,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,6.588533878326417,0.1784315142753885,0.0003176930596285435,0.9989478795726773,0.30278053746427736,12343,13,40907,56832,0.3176930596285435,0.00016916867157927012,0.0005432035348798983,0.9841034473481117,0.9743054753322657,0.9561678338862268,0.06974584555229717,0.12656402737047898
0,42,20260813,5000,RT,LINEAR,FINAL,LATE_TEST_Q4,0.0001,6.588533878326417,0.18380245855539784,0.00010587612493382742,0.9998543123543123,0.31052191027758297,6863,1,9444,30476,0.10587612493382742,2.6805478085206315e-06,0.0005897612665539468,0.9943910118071002,0.9796887901472908,0.9848595777081443,0.054737956590788776,0.09941768131286395
0,42,20260813,5000,RT,LINEAR,FINAL,OFFICIAL_TEST,0.0005,5.068727970123292,0.34389322916666665,0.0005588428665351743,0.9980727080341621,0.5115337684724294,26411,51,91209,50389,0.5588428665351742,0.0004161226444217496,0.0007347105228060943,0.9798449433821419,0.9821500011128917,0.9472905188718033,0.04214332675871137,0.08532763532763533
0,42,20260813,5000,RT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.0005,5.068727970123292,0.35117924843814796,0.0010931351114997813,0.9982887131122604,0.5195799974269399,26251,45,41121,48500,1.0931351114997814,0.0007974485319675912,0.0014624304651982766,0.9855277825978912,0.9749524470733516,0.9600987541563798,0.06792012826118642,0.12456881892824176
0,42,20260813,5000,RT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.0005,5.068727970123292,0.3359513804675823,0.0005647527822379713,0.997863963813034,0.5026689452918962,23825,51,90254,47093,0.5647527822379713,0.0004205235479942299,0.0007424795960612595,0.9779956775679638,0.9816787910085939,0.9422497785651018,0.04331986047284204,0.08700514921654394
0,42,20260813,5000,RT,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,5.068727970123292,0.34314419949403685,0.0010997067448680353,0.9981078126314019,0.5107092526652108,23737,45,40875,45438,1.0997067448680353,0.0008022432325077709,0.0014712205675149735,0.9841034473481117,0.9743054753322657,0.9561678338862268,0.06974584555229717,0.12656402737047898
0,42,20260813,5000,RT,LINEAR,FINAL,LATE_TEST_Q4,0.0005,5.068727970123292,0.3439567208548702,0.00042350449973530967,0.9996886432630187,0.5118160443151476,12843,4,9441,24496,0.4235044997353097,0.00011540239267044071,0.0010839814822113754,0.9943910118071002,0.9796887901472908,0.9848595777081443,0.054737956590788776,0.09941768131286395
0,42,20260813,5000,RT,LINEAR,FINAL,OFFICIAL_TEST,0.001,4.55794906616211,0.4126432291666667,0.0008656585579662503,0.997513377400063,0.5837892603850051,31691,79,91181,45109,0.8656585579662502,0.0006854080809441838,0.0010787538202122254,0.9798449433821419,0.9821500011128917,0.9472905188718033,0.04214332675871137,0.08532763532763533
