run,model_seed,label_rank_seed,budget,rep,probe,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
2,82,20260833,2000,RT,MLP,FINAL,OFFICIAL_TEST,0.0001,6.216336250305177,0.145390625,0.00014245014245014244,0.9988371052866982,0.2538333011286784,11166,13,91247,65634,0.14245014245014245,7.58508117838386e-05,0.0002435817629191962,0.9574066350027975,0.9636045045291841,0.8813853255464028,0.10192855577470962,0.17394258163488932
2,82,20260833,2000,RT,MLP,FINAL,DOMAIN_OOD_EXACT,0.0001,6.216336250305177,0.14858664098139154,0.0003157945877666035,0.9988309352517986,0.25869036112307997,11107,13,41153,63644,0.3157945877666035,0.00016815769017634017,0.0005399578202940708,0.9685489655634428,0.9475138861528786,0.9146263543550075,0.15255307778263616,0.24420638390905117
2,82,20260833,2000,RT,MLP,FINAL,TEMPLATE_OOD_EXACT,0.0001,6.216336250305177,0.14563298457373305,0.00014395659155085543,0.9987428681945654,0.25419953482075835,10328,13,90292,60590,0.14395659155085544,7.665297735701101e-05,0.00024615757482898166,0.9534731746700104,0.9626075486007067,0.8711103832296102,0.10457892696971374,0.17568240961187087
2,82,20260833,2000,RT,MLP,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,6.216336250305177,0.14865196964221178,0.0003176930596285435,0.9987373737373737,0.25878622390557565,10283,13,40907,58892,0.3176930596285435,0.00016916867157927012,0.0005432035348798983,0.9653517891875294,0.9459086090394366,0.9067064734580936,0.15654936461388075,0.24904692082111438
2,82,20260833,2000,RT,MLP,FINAL,LATE_TEST_Q4,0.0001,6.216336250305177,0.16492139585955704,0.00010587612493382742,0.9998376359798669,0.28313945468757185,6158,1,9444,31181,0.10587612493382742,2.6805478085206315e-06,0.0005897612665539468,0.9904098907954131,0.9664083969558181,0.9748520710059172,0.09179460031762837,0.16199047114875595
2,82,20260833,2000,RT,MLP,FINAL,OFFICIAL_TEST,0.0005,5.529340267181397,0.21204427083333333,0.00033968880122726275,0.9981000245158127,0.3497787705657459,16285,31,91229,60515,0.33968880122726275,0.00023081336229869803,0.0004821267900924009,0.9574066350027975,0.9636045045291841,0.8813853255464028,0.10192855577470962,0.17394258163488932
2,82,20260833,2000,RT,MLP,FINAL,DOMAIN_OOD_EXACT,0.0005,5.529340267181397,0.2162914208505572,0.0007287567409998542,0.998147919496234,0.35553991797600853,16168,30,41136,58583,0.7287567409998542,0.0004917414362802722,0.0010401834705557206,0.9685489655634428,0.9475138861528786,0.9146263543550075,0.15255307778263616,0.24420638390905117
2,82,20260833,2000,RT,MLP,FINAL,TEMPLATE_OOD_EXACT,0.0005,5.529340267181397,0.21038382357088467,0.00034328110292896296,0.9979265600963146,0.34750608485017875,14920,31,90274,55998,0.34328110292896297,0.00023325439735040623,0.00048722504526944595,0.9534731746700104,0.9626075486007067,0.8711103832296102,0.10457892696971374,0.17568240961187087
2,82,20260833,2000,RT,MLP,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,5.529340267181397,0.21436935308998917,0.0007331378299120235,0.9979810216030689,0.3529285765285479,14829,30,40890,54346,0.7331378299120235,0.0004946979696539912,0.0010464357925700962,0.9653517891875294,0.9459086090394366,0.9067064734580936,0.15654936461388075,0.24904692082111438
2,82,20260833,2000,RT,MLP,FINAL,LATE_TEST_Q4,0.0005,5.529340267181397,0.23795495326602212,0.00031762837480148225,0.9996624662466247,0.38440738096783267,8885,3,9442,28454,0.31762837480148226,6.550739745275095e-05,0.0009279615358002064,0.9904098907954131,0.9664083969558181,0.9748520710059172,0.09179460031762837,0.16199047114875595
