run,model_seed,label_rank_seed,budget,rep,probe,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
2,82,20260833,100000,R0,LINEAR,FINAL,OFFICIAL_TEST,0.0001,7.355319499969483,0.277734375,5.478851632697787e-05,0.9997656433091164,0.4347072909767158,21330,5,91255,55470,0.05478851632697787,1.77899137553076e-05,0.00012785344931237223,0.9867973958221747,0.9881793405060633,0.9680296877188069,0.025016436554898092,0.05461319307473154
2,82,20260833,100000,R0,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.0001,7.355319499969483,0.2843306444060949,0.00012145945683330905,0.9997648054941437,0.4427455473388188,21254,5,41161,53497,0.12145945683330904,3.9438693446562146e-05,0.00028342289872657057,0.9904741573219077,0.9829600413715891,0.9750166652175173,0.04187922071612496,0.0831268522567167
2,82,20260833,100000,R0,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.0001,7.355319499969483,0.28207225246058826,5.536791982725209e-05,0.9997501124493978,0.4400013197400112,20004,5,90300,50914,0.055367919827252095,1.797804941993478e-05,0.00012920548448164796,0.9860601634004071,0.9882306052047166,0.9662130455185359,0.024716239410885334,0.053551852056918224
2,82,20260833,100000,R0,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,7.355319499969483,0.28844235634260934,0.00012218963831867058,0.9997494738951799,0.4477129682609135,19953,5,40915,49222,0.12218963831867058,3.96757951165932e-05,0.0002851266218930336,0.9899445426186124,0.983142328716358,0.973688324682634,0.04112903225806452,0.08140273704789834
2,82,20260833,100000,R0,LINEAR,FINAL,LATE_TEST_Q4,0.0001,7.355319499969483,0.2407402447842738,0.00010587612493382742,0.999888765294772,0.38805068099894235,8989,1,9444,28350,0.10587612493382742,2.6805478085206315e-06,0.0005897612665539468,0.9958639621692702,0.9846609684939063,0.9894612893729762,0.037903652726310216,0.07464266807834834
2,82,20260833,100000,R0,LINEAR,FINAL,OFFICIAL_TEST,0.0005,5.636779785156251,0.4659765625,0.0004930966469428008,0.9987441393168118,0.6354677178776902,35787,45,91215,41013,0.4930966469428008,0.0003596901060334878,0.0006597471095891995,0.9867973958221747,0.9881793405060633,0.9680296877188069,0.025016436554898092,0.05461319307473154
2,82,20260833,100000,R0,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.0005,5.636779785156251,0.4760070099396664,0.0009473837632998105,0.998905140226271,0.6447649766245063,35582,39,41127,39169,0.9473837632998106,0.0006737665073010649,0.0012948795996123167,0.9904741573219077,0.9829600413715891,0.9750166652175173,0.04187922071612496,0.0831268522567167
2,82,20260833,100000,R0,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.0005,5.636779785156251,0.46629910600975777,0.00046509052654891757,0.9987315393675817,0.6357650270597621,33069,42,90263,37849,0.4650905265489176,0.00033521626006038636,0.0006286158600607754,0.9860601634004071,0.9882306052047166,0.9662130455185359,0.024716239410885334,0.053551852056918224
2,82,20260833,100000,R0,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,5.636779785156251,0.4758655583664619,0.0008797653958944282,0.9989075681252655,0.6446357058230278,32918,36,40884,36257,0.8797653958944281,0.0006162505697269905,0.0012177601625503248,0.9899445426186124,0.983142328716358,0.973688324682634,0.04112903225806452,0.08140273704789834
2,82,20260833,100000,R0,LINEAR,FINAL,LATE_TEST_Q4,0.0005,5.636779785156251,0.4311577706955194,0.00021175224986765483,0.999875784112788,0.6025074850299401,16099,2,9443,21240,0.21175224986765484,2.5645208655171814e-05,0.0007647103975401616,0.9958639621692702,0.9846609684939063,0.9894612893729762,0.037903652726310216,0.07464266807834834
